year,region,crop,planting_area_kha,production_ton,yield_kg_per_ha,planting_area_kha_implied,value_is_derived,season_precip_mm,season_precip_clim_mm,season_precip_pct_of_clim,season_temp_mean_c,heat_days,heavy_rain_days,soil_moisture_anomaly,max_3d_precip_mm,n_days_in_season,season_complete,weather_source,source_table,quality_grade,weather_available
2022,沈阳,小麦,0.7,3000.0,3868.0,,False,851.9,619.58,1.3749636850769875,20.848366013071896,0.0,2.0,0.6873939769197741,78.00000000000001,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2023,沈阳,小麦,0.5,2000.0,4110.0,,False,555.7,619.58,0.8968978985764551,22.05032679738562,0.0,1.0,-0.8106436832808211,59.10000000000001,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2024,沈阳,小麦,0.4,2000.0,4365.0,,False,830.8,620.9333333333334,1.3379858277861283,21.99281045751634,0.0,3.0,-0.0653698944374686,112.60000000000001,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2025,沈阳,水果,,1194000.0,,,False,675.8,619.58,1.090738887633558,22.859477124183005,3.0,1.0,0.01642652878629979,60.8,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2025_shenyang.csv,A,True
2018,沈阳,水稻,117.554,980071.635,,,False,,,,,,,,,,,,fact_production_yearly.csv,年鉴1981-2020口径,False
2019,沈阳,水稻,118.09830000000002,927429.4195688594,,,False,,,,,,,,,,,,fact_production_yearly.csv,年鉴1981-2020口径,False
2020,沈阳,水稻,125.5,1023000.0,8149.0,,False,,,,,,,,,,,,fact_production_yearly_2020_2024.csv,B,False
2021,沈阳,水稻,121.9,945000.0,7749.0,,False,578.3000000000001,619.58,0.933374221246651,21.22483660130719,0.0,0.0,0.3614760135625612,57.3,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2022,沈阳,水稻,120.5,920000.0,7629.0,,False,851.9,619.58,1.3749636850769875,20.848366013071896,0.0,2.0,0.6873939769197741,78.00000000000001,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2023,沈阳,水稻,111.8,838000.0,7500.0,,False,555.7,619.58,0.8968978985764551,22.05032679738562,0.0,1.0,-0.8106436832808211,59.10000000000001,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2024,沈阳,水稻,110.3,780000.0,7080.0,,False,830.8,620.9333333333334,1.3379858277861283,21.99281045751634,0.0,3.0,-0.0653698944374686,112.60000000000001,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2025,沈阳,水稻,110.5,785000.0,7105.5,,False,675.8,619.58,1.090738887633558,22.859477124183005,3.0,1.0,0.01642652878629979,60.8,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2025_shenyang.csv,A,True
2020,沈阳,油料,32.7,120574.6,,,False,,,,,,,,,,,,fact_production_yearly_2020_2024.csv,B,False
2021,沈阳,油料,32.0,119252.2,,,False,578.3000000000001,619.58,0.933374221246651,21.22483660130719,0.0,0.0,0.3614760135625612,57.3,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2022,沈阳,油料,31.5,120118.7,,,False,851.9,619.58,1.3749636850769875,20.848366013071896,0.0,2.0,0.6873939769197741,78.00000000000001,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2023,沈阳,油料,32.0,132039.1,,,False,555.7,619.58,0.8968978985764551,22.05032679738562,0.0,1.0,-0.8106436832808211,59.10000000000001,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2024,沈阳,油料,33.3,130721.8,,,False,830.8,620.9333333333334,1.3379858277861283,21.99281045751634,0.0,3.0,-0.0653698944374686,112.60000000000001,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2025,沈阳,油料,32.1,128000.0,3987.5,,False,675.8,619.58,1.090738887633558,22.859477124183005,3.0,1.0,0.01642652878629979,60.8,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2025_shenyang.csv,A,True
2018,沈阳,玉米,397.5,2576628.68,,,False,,,,,,,,,,,,fact_production_yearly.csv,年鉴1981-2020口径,False
2019,沈阳,玉米,389.1439,3127012.2571,,,False,,,,,,,,,,,,fact_production_yearly.csv,年鉴1981-2020口径,False
2020,沈阳,玉米,391.0,2983000.0,7631.0,,False,,,,,,,,,,,,fact_production_yearly_2020_2024.csv,B,False
2021,沈阳,玉米,398.1,3172000.0,7968.0,,False,578.3000000000001,619.58,0.933374221246651,21.22483660130719,0.0,0.0,0.3614760135625612,57.3,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2022,沈阳,玉米,402.2,2946000.0,7325.0,,False,851.9,619.58,1.3749636850769875,20.848366013071896,0.0,2.0,0.6873939769197741,78.00000000000001,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2023,沈阳,玉米,413.7,3296000.0,7965.0,,False,555.7,619.58,0.8968978985764551,22.05032679738562,0.0,1.0,-0.8106436832808211,59.10000000000001,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2024,沈阳,玉米,415.2,3164000.0,7620.0,,False,830.8,620.9333333333334,1.3379858277861283,21.99281045751634,0.0,3.0,-0.0653698944374686,112.60000000000001,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2025,沈阳,玉米,419.3,3349000.0,7987.1,,False,675.8,619.58,1.090738887633558,22.859477124183005,3.0,1.0,0.01642652878629979,60.8,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2025_shenyang.csv,A,True
2025,沈阳,瓜果,13.9,,,,False,675.8,619.58,1.090738887633558,22.859477124183005,3.0,1.0,0.01642652878629979,60.8,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2025_shenyang.csv,A,True
2017,沈阳,粮食,543.5067344030314,3822921.63546779,7033.807298941297,,False,,,,,,,,,,,,fact_production_yearly.csv,年鉴1981-2020口径,False
2018,沈阳,粮食,547.239,3690709.71,6744.237362468683,,False,,,,,,,,,,,,fact_production_yearly.csv,年鉴1981-2020口径,False
2019,沈阳,粮食,545.9853650000001,4183026.316555838,7661.425717071807,,False,,,,,,,,,,,,fact_production_yearly.csv,年鉴1981-2020口径,False
2020,沈阳,粮食,540.4,4094000.0,7576.0,,False,,,,,,,,,,,,fact_production_yearly_2020_2024.csv,B,False
