crop,response,exposure,label,peak_lag,peak_effect,peak_ci_low,peak_ci_high,peak_p,peak_fdr_p,n_lag_fdr_sig,max_abs_effect
土豆,volume,radiation,短波辐射,14.0,-0.016250853203426854,-0.1602795573830328,0.12777785097617905,0.8249771296929934,0.9997788117577607,0.0,0.016250853203426854
土豆,volume,temp_mean,日平均气温,3.0,0.018166388096181714,-0.1497649781058244,0.1860977542981878,0.8320853342844639,0.9997788117577607,0.0,0.018166388096181714
土豆,volume,wind_speed,日最大风速,12.0,-0.29900164793505923,-0.4098693698512418,-0.18813392601887666,1.2504175489069233e-07,6.0020042347532326e-05,15.0,0.29900164793505923
尖椒,price,cloud_cover,云量,12.0,0.0865258143978175,-0.03349959299370377,0.20655122178933877,0.15766871889036116,0.9997788117577607,0.0,0.0865258143978175
尖椒,price,dew_point,露点温度,12.0,0.1216528571636144,-0.13562238093331852,0.3789280952605473,0.35403662333886365,0.9997788117577607,0.0,0.1216528571636144
尖椒,price,et0,参考蒸散ET0,13.0,0.024785390887661178,-0.18727172733658234,0.23684250911190471,0.8188018943709257,0.9997788117577607,0.0,0.024785390887661178
尖椒,price,humidity,相对湿度,12.0,0.15866466878594543,-0.030196463458868172,0.34752580103075903,0.09963592293927356,0.9997788117577607,0.0,0.15866466878594543
尖椒,price,pressure_msl,海平面气压,12.0,-0.0839529401166704,-0.2890708291502555,0.12116494891691468,0.422431095589746,0.9997788117577607,0.0,0.0839529401166704
尖椒,price,radiation,短波辐射,13.0,0.05179180811643488,-0.1538021076385067,0.2573857238713765,0.6214829273948699,0.9997788117577607,0.0,0.05179180811643488
尖椒,price,temp_mean,日平均气温,14.0,0.09051813749241398,-0.16934499372860945,0.35038126871343744,0.49477942975619316,0.9997788117577607,0.0,0.09051813749241398
尖椒,price,wind_speed,日最大风速,1.0,0.08250445416681666,-0.08382716546589038,0.24883607379952372,0.3309476828006601,0.9997788117577607,0.0,0.08250445416681666
尖椒,volume,cloud_cover,云量,2.0,-0.15984701810386126,-0.293346624774222,-0.02634741143350053,0.018934167824944323,0.5346117974101927,0.0,0.15984701810386126
尖椒,volume,dew_point,露点温度,4.0,0.18508614723808461,-0.0745572367021616,0.4447295311783308,0.16235909578263674,0.9997788117577607,0.0,0.18508614723808461
尖椒,volume,et0,参考蒸散ET0,5.0,-0.0382940059216864,-0.30624059522017594,0.2296525833768031,0.7793881523494837,0.9997788117577607,0.0,0.0382940059216864
尖椒,volume,humidity,相对湿度,4.0,0.23523142883466494,-0.04126079012450931,0.5117236477938392,0.09541299419388966,0.9997788117577607,0.0,0.23523142883466494
尖椒,volume,pressure_msl,海平面气压,3.0,-0.02995023219697484,-0.2996116967328576,0.2397112323389079,0.8276710865414489,0.9997788117577607,0.0,0.02995023219697484
尖椒,volume,radiation,短波辐射,5.0,-0.0772035514091412,-0.37400021982378945,0.21959311700550704,0.6101632119533695,0.9997788117577607,0.0,0.0772035514091412
尖椒,volume,temp_mean,日平均气温,14.0,0.14452542457050946,-0.10662519964326425,0.3956760487842832,0.25936712665789297,0.9997788117577607,0.0,0.14452542457050946
尖椒,volume,wind_speed,日最大风速,14.0,0.10638340424046541,-0.03792319252625187,0.2506900010071827,0.14848038802504573,0.9997788117577607,0.0,0.10638340424046541
甘蓝,price,cloud_cover,云量,9.0,0.046332718974255754,-0.0786524717934469,0.1713179097419584,0.4674813751640925,0.9997788117577607,0.0,0.046332718974255754
甘蓝,price,dew_point,露点温度,11.0,0.047831577075250535,-0.20170163727352913,0.2973647914240302,0.7071391559260021,0.9997788117577607,0.0,0.047831577075250535
甘蓝,price,et0,参考蒸散ET0,8.0,-0.015069817862866092,-0.26116202895686047,0.2310223932311283,0.9044645498775716,0.9997788117577607,0.0,0.015069817862866092
甘蓝,price,humidity,相对湿度,4.0,0.07749329698038902,-0.1037945472326013,0.25878114119337936,0.4021309354448612,0.9997788117577607,0.0,0.07749329698038902
甘蓝,price,pressure_msl,海平面气压,12.0,-0.03126730106205084,-0.2481292349981884,0.18559463287408673,0.777487978701674,0.9997788117577607,0.0,0.03126730106205084
甘蓝,price,radiation,短波辐射,1.0,-0.01885634395185917,-0.2747631250567721,0.23705043715305377,0.8851676619634846,0.9997788117577607,0.0,0.01885634395185917
甘蓝,price,temp_mean,日平均气温,11.0,0.028180987145631192,-0.23980881490497172,0.2961707891962341,0.8367068626332044,0.9997788117577607,0.0,0.028180987145631192
甘蓝,price,wind_speed,日最大风速,1.0,0.14791686886390965,0.015067247089019215,0.2807664906388001,0.02908776911468353,0.7506521061853814,0.0,0.14791686886390965
甘蓝,volume,cloud_cover,云量,10.0,-0.08656942020751787,-0.19375792055021387,0.02061908013517813,0.11342855065558724,0.9997788117577607,0.0,0.08656942020751787
甘蓝,volume,dew_point,露点温度,9.0,-0.10347551381329846,-0.31904742326035224,0.11209639563375533,0.34680271339119395,0.9997788117577607,0.0,0.10347551381329846
甘蓝,volume,et0,参考蒸散ET0,5.0,-0.033060321355485714,-0.25215616336857793,0.18603552065760653,0.7674187977350484,0.9997788117577607,0.0,0.033060321355485714
甘蓝,volume,humidity,相对湿度,8.0,-0.11367090781376087,-0.29579039286558423,0.06844857723806248,0.22119938033533348,0.9997788117577607,0.0,0.11367090781376087
甘蓝,volume,pressure_msl,海平面气压,9.0,0.08518931394920776,-0.12546120401582214,0.2958398319142377,0.42798475057648067,0.9997788117577607,0.0,0.08518931394920776
甘蓝,volume,radiation,短波辐射,6.0,-0.07244499835951704,-0.2738279325615224,0.12893793584248828,0.48075699887832357,0.9997788117577607,0.0,0.07244499835951704
甘蓝,volume,temp_mean,日平均气温,3.0,-0.09180828614342806,-0.33090596247711834,0.14728939019026221,0.4516920029714281,0.9997788117577607,0.0,0.09180828614342806
甘蓝,volume,wind_speed,日最大风速,14.0,0.32274137723384244,0.19512985386848913,0.45035290059919575,7.15819587812499e-07,0.0001908852234166664,15.0,0.32274137723384244
芸豆,price,cloud_cover,云量,9.0,0.04418328263743038,-0.049106640832120324,0.13747320610698108,0.35326199105370715,0.9997788117577607,0.0,0.04418328263743038
芸豆,price,dew_point,露点温度,11.0,0.023503374344346867,-0.16444963826866388,0.21145638695735763,0.8063817616669136,0.9997788117577607,0.0,0.023503374344346867
芸豆,price,et0,参考蒸散ET0,8.0,-0.03095699521675,-0.18633649004849864,0.12442249961499866,0.6961667701686076,0.9997788117577607,0.0,0.03095699521675
芸豆,price,humidity,相对湿度,3.0,0.020535000713509638,-0.13055794100113347,0.17162794242815274,0.7899442038953901,0.9997788117577607,0.0,0.020535000713509638
芸豆,price,pressure_msl,海平面气压,8.0,0.029568451955017942,-0.13701093160890265,0.19614783551893855,0.7279098827334027,0.9997788117577607,0.0,0.029568451955017942
芸豆,price,radiation,短波辐射,1.0,0.021697300611585355,-0.12317102408052825,0.16656562530369895,0.7690985562585372,0.9997788117577607,0.0,0.021697300611585355
芸豆,price,temp_mean,日平均气温,11.0,0.022464984609708957,-0.16699075997683704,0.211920729196255,0.8162197456753814,0.9997788117577607,0.0,0.022464984609708957
芸豆,price,wind_speed,日最大风速,2.0,0.14326517409947687,0.003706285423829281,0.28282406277512445,0.04421445564894587,0.9414022362884967,0.0,0.14326517409947687
芸豆,volume,cloud_cover,云量,8.0,-0.08443738902333253,-0.1630168207359965,-0.005857957310668557,0.03519440543826759,0.8531977075943656,0.0,0.08443738902333253
芸豆,volume,dew_point,露点温度,0.0,0.014950225172188893,-0.13293559719280823,0.162836047537186,0.8429337071973875,0.9997788117577607,0.0,0.014950225172188893
芸豆,volume,et0,参考蒸散ET0,1.0,0.031114527498913573,-0.14114832979681038,0.20337738479463754,0.7233239941662566,0.9997788117577607,0.0,0.031114527498913573
芸豆,volume,humidity,相对湿度,1.0,-0.1005308675837696,-0.24515235345488684,0.04409061828734766,0.17305382627645338,0.9997788117577607,0.0,0.1005308675837696
芸豆,volume,pressure_msl,海平面气压,8.0,0.048621793324466395,-0.10143216937447189,0.19867575602340468,0.5253656169782405,0.9997788117577607,0.0,0.048621793324466395
芸豆,volume,radiation,短波辐射,10.0,0.048339055887743815,-0.1038933002188302,0.20057141199431783,0.5336999060916019,0.9997788117577607,0.0,0.048339055887743815
芸豆,volume,temp_mean,日平均气温,0.0,0.044822410433336096,-0.121773999995729,0.21141882086240119,0.5979617801278425,0.9997788117577607,0.0,0.044822410433336096
芸豆,volume,wind_speed,日最大风速,2.0,-0.06489436093093343,-0.17410097241928646,0.04431225055741961,0.24414042295211902,0.9997788117577607,0.0,0.06489436093093343
芹菜,price,cloud_cover,云量,9.0,0.07763072503507065,-0.023268678756969377,0.17853012882711067,0.13155472955985673,0.9997788117577607,0.0,0.07763072503507065
芹菜,price,dew_point,露点温度,4.0,0.08738813359266835,-0.10781812199793679,0.2825943891832735,0.3802505738032633,0.9997788117577607,0.0,0.08738813359266835
芹菜,price,et0,参考蒸散ET0,12.0,0.03503140912639771,-0.1377092138214402,0.2077720320742356,0.6910108897899451,0.9997788117577607,0.0,0.03503140912639771
芹菜,price,humidity,相对湿度,8.0,0.08282752030587928,-0.10021904874188275,0.2658740893536413,0.37513880796847476,0.9997788117577607,0.0,0.08282752030587928
芹菜,price,pressure_msl,海平面气压,4.0,-0.041149055627232575,-0.20535492373207187,0.12305681247760673,0.6233098642004536,0.9997788117577607,0.0,0.041149055627232575
芹菜,price,radiation,短波辐射,12.0,0.07917374858904917,-0.09353120251631204,0.2518786996944104,0.3689031589822106,0.9997788117577607,0.0,0.07917374858904917
芹菜,price,temp_mean,日平均气温,4.0,0.07307340171133823,-0.12577982163323775,0.2719266250559142,0.4713716000220072,0.9997788117577607,0.0,0.07307340171133823
芹菜,price,wind_speed,日最大风速,3.0,0.039984844167039506,-0.08526175825145035,0.16523144658552938,0.5314934245348725,0.9997788117577607,0.0,0.039984844167039506
芹菜,volume,cloud_cover,云量,10.0,-0.10036398808419508,-0.21835981011964178,0.017631833951251633,0.09549017228791064,0.9997788117577607,0.0,0.10036398808419508
芹菜,volume,dew_point,露点温度,9.0,-0.059635864584297746,-0.2907989677616818,0.17152723859308633,0.6131064097883578,0.9997788117577607,0.0,0.059635864584297746
芹菜,volume,et0,参考蒸散ET0,4.0,-0.04493945475861308,-0.28513411135526034,0.19525520183803421,0.7138367478691225,0.9997788117577607,0.0,0.04493945475861308
芹菜,volume,humidity,相对湿度,9.0,-0.09508451515713827,-0.2879576707488452,0.09778864043456868,0.3339140070281701,0.9997788117577607,0.0,0.09508451515713827
芹菜,volume,pressure_msl,海平面气压,1.0,0.11023914784660868,-0.11670327135290728,0.3371815670461247,0.34105330228199726,0.9997788117577607,0.0,0.11023914784660868
芹菜,volume,radiation,短波辐射,5.0,-0.09373489438513372,-0.3245651351324408,0.13709534636217333,0.4260836028756526,0.9997788117577607,0.0,0.09373489438513372
芹菜,volume,temp_mean,日平均气温,12.0,-0.04288294552418546,-0.27400096012115827,0.18823506907278734,0.7161048201603741,0.9997788117577607,0.0,0.04288294552418546
芹菜,volume,wind_speed,日最大风速,12.0,0.22680562918499828,0.09720329744954262,0.3564079609204539,0.0006035291533825654,0.022991586795526302,6.0,0.22680562918499828
茄子,price,cloud_cover,云量,8.0,0.09032563916022224,0.00244856027010297,0.1782027180503415,0.04394527726342923,0.9414022362884967,0.0,0.09032563916022224
茄子,price,dew_point,露点温度,14.0,-0.011458519342508335,-0.20217240511230036,0.1792553664272837,0.9062568657294106,0.9997788117577607,0.0,0.011458519342508335
茄子,price,et0,参考蒸散ET0,14.0,-0.06401895721431475,-0.21683606868496663,0.08879815425633714,0.4115929405322325,0.9997788117577607,0.0,0.06401895721431475
茄子,price,humidity,相对湿度,12.0,0.07066473448917228,-0.07692662976776417,0.21825609874610874,0.3480279450523619,0.9997788117577607,0.0,0.07066473448917228
茄子,price,pressure_msl,海平面气压,8.0,0.03884231166594037,-0.1275420862125132,0.20522670954439395,0.6472682161926882,0.9997788117577607,0.0,0.03884231166594037
茄子,price,radiation,短波辐射,14.0,-0.05335760374057915,-0.20460895446999175,0.09789374698883344,0.4892904474760932,0.9997788117577607,0.0,0.05335760374057915
茄子,price,temp_mean,日平均气温,14.0,-0.03366948070968189,-0.2227904693814468,0.155451507962083,0.7271331462205435,0.9997788117577607,0.0,0.03366948070968189
茄子,price,wind_speed,日最大风速,1.0,0.1207880332719527,-0.017106881876264468,0.25868294842016987,0.0860070329828008,0.9997788117577607,0.0,0.1207880332719527
茄子,volume,cloud_cover,云量,8.0,-0.09956755221440229,-0.22872737867744164,0.029592274248637043,0.13080442070999493,0.9997788117577607,0.0,0.09956755221440229
茄子,volume,dew_point,露点温度,0.0,0.05240865253400381,-0.17530235275693118,0.2801196578249388,0.6519158177348046,0.9997788117577607,0.0,0.05240865253400381
茄子,volume,et0,参考蒸散ET0,0.0,0.11052403363857488,-0.1124299571928381,0.33347802446998787,0.3312384027391094,0.9997788117577607,0.0,0.11052403363857488
茄子,volume,humidity,相对湿度,13.0,-0.13105912002945094,-0.32880569206501803,0.06668745200611614,0.19393858713868783,0.9997788117577607,0.0,0.13105912002945094
