offset,mean,count,ci_low,ci_high,group,crop,response,n_units,ci_excl0
15,0.3302730089765747,6,-0.28765041433362387,0.8757639773262862,rain,尖椒,price,8,False
16,0.3922928579671948,5,-0.22608265563128238,1.0135552290695962,rain,尖椒,price,8,False
17,0.31948271067571526,6,-0.18203495296457867,0.8577896860385031,rain,尖椒,price,8,False
18,0.05092589647106267,7,-0.5628363146700863,0.6433628718165533,rain,尖椒,price,8,False
19,0.1812140356757922,4,-0.40040224176201505,0.7548959626391168,rain,尖椒,price,8,False
20,0.2679262377532288,3,-0.060704168352893495,0.4584258183317206,rain,尖椒,price,8,False
21,0.226706452258529,5,-0.7578257775427398,1.1528427616097214,rain,尖椒,price,8,False
-14,-0.3861667774163841,6,-0.855612940801124,-0.0033010791138405157,rain,尖椒,volume,8,True
-13,-0.12877777278155,5,-0.5706051306263772,0.43966805062178055,rain,尖椒,volume,8,False
-12,0.10679437025046085,4,-0.2613651692971807,0.6618440577364089,rain,尖椒,volume,8,False
-11,0.00041635232066452216,6,-0.4251458117871009,0.4865076866965441,rain,尖椒,volume,8,False
-10,0.5856292784661864,7,-0.015105782634111364,1.2140989802698958,rain,尖椒,volume,8,False
-9,0.13414871771812287,5,-0.37659067404109914,0.5246039240373519,rain,尖椒,volume,8,False
-8,-0.42467936707785625,4,-0.9836323575700349,0.05958001708710001,rain,尖椒,volume,8,False
-7,-0.123864815397708,6,-0.3953176066355616,0.19118378124516014,rain,尖椒,volume,8,False
-6,-0.08389499261390991,6,-0.7026837594758816,0.479626721111275,rain,尖椒,volume,8,False
-5,-0.11191550379463511,5,-0.3182971856248532,0.18556927020099803,rain,尖椒,volume,8,False
-4,-0.004996227847974742,7,-0.46726746975676214,0.43095141739415316,rain,尖椒,volume,8,False
-3,-0.08886148101040861,7,-0.7176032987951241,0.6655015641761899,rain,尖椒,volume,8,False
-2,0.20281562420372634,4,-0.7494341771962169,1.265294702499613,rain,尖椒,volume,8,False
-1,0.277915174043597,4,-0.2557444129682092,0.6911448523031778,rain,尖椒,volume,8,False
0,0.5506259440788871,6,0.1656249531603638,0.8943247847874852,rain,尖椒,volume,8,True
1,0.981883677823243,5,-0.4246793670778562,3.36881071457716,rain,尖椒,volume,8,False
2,0.6371751827370331,4,-0.3992818755173178,2.6066257475605905,rain,尖椒,volume,8,False
3,0.8494628222358783,6,-0.10358697040876995,2.1182388992739045,rain,尖椒,volume,8,False
4,0.41437464714140804,6,-0.40290785813853397,1.2131582842453936,rain,尖椒,volume,8,False
5,0.4938771227723068,5,-0.9338418244225613,1.7854332478978368,rain,尖椒,volume,8,False
6,-0.031226424049842355,4,-0.724453037956343,0.5995473417569736,rain,尖椒,volume,8,False
7,-0.423638486276195,6,-1.2773168757588025,0.342034732526942,rain,尖椒,volume,8,False
8,0.3376617320589621,6,-0.09838442511618016,0.7291065186260562,rain,尖椒,volume,8,False
9,0.045465673416570374,5,-0.36691048258564785,0.458790592269503,rain,尖椒,volume,8,False
10,-0.31815265189067976,7,-1.0948028881051948,0.3599090722219007,rain,尖椒,volume,8,False
11,0.055672253163147487,7,-0.88999211845057,1.0455811219672004,rain,尖椒,volume,8,False
12,0.2690468696134417,5,-0.029508970727100965,0.6365506542560364,rain,尖椒,volume,8,False
13,-0.3403680221432819,4,-1.4832551423675127,0.5246039240373518,rain,尖椒,volume,8,False
14,0.5974655801536507,6,0.20457991716254223,0.9897527366838037,rain,尖椒,volume,8,True
15,0.5624919852178271,6,-0.0927870886052459,1.3227011374269566,rain,尖椒,volume,8,False
16,0.8098885341567117,5,-0.22159051166369387,2.1246458923512748,rain,尖椒,volume,8,False
17,0.34702965927391477,6,-0.16225718332658845,0.9391386066020152,rain,尖椒,volume,8,False
18,0.07976120885874009,7,-0.4419871702221967,0.6846842352773652,rain,尖椒,volume,8,False
19,0.16300193354017706,4,-0.123656639237376,0.5246039240373518,rain,尖椒,volume,8,False
20,0.5329309704506432,3,-0.42467936707785625,1.3489815189531904,rain,尖椒,volume,8,False
21,0.3459887784722534,5,-0.11219877206994439,0.7644228607401412,rain,尖椒,volume,8,False
-14,-0.08906933453860577,6,-0.5566365532856236,0.2809917348752747,rain,甘蓝,price,8,False
-13,0.022000469263791598,5,-0.39627148200023654,0.5081142328016842,rain,甘蓝,price,8,False
-12,0.134419041820865,4,-0.27867951738877444,0.6431149916595578,rain,甘蓝,price,8,False
-11,0.14107175985986345,6,-0.012110282300523616,0.3880534909099649,rain,甘蓝,price,8,False
-10,0.06665815073274009,7,-0.0681350610712896,0.19155479230131237,rain,甘蓝,price,8,False
-9,0.16109546058787932,5,0.04737384373196408,0.26519498769451777,rain,甘蓝,price,8,True
-8,0.1995105774348738,4,0.10264799985267012,0.2910652582718109,rain,甘蓝,price,8,True
-7,0.13564572669115385,6,0.06025101765176605,0.2627677958543305,rain,甘蓝,price,8,True
-6,0.08053977325367673,6,-0.11274053301647775,0.3012985676467159,rain,甘蓝,price,8,False
-5,-0.04872062568426839,5,-0.3036294554133367,0.2531596341806274,rain,甘蓝,price,8,False
-4,-0.019774300101760695,7,-0.25185189307688444,0.20617291768893076,rain,甘蓝,price,8,False
-3,-0.14421916388859804,7,-0.39539015143643236,0.1559657553579059,rain,甘蓝,price,8,False
-2,-0.41533677388656925,4,-0.6377359006993196,-0.09385866605935198,rain,甘蓝,price,8,True
-1,-0.31850706527672124,4,-0.5496857604820088,-0.03258152223217916,rain,甘蓝,price,8,True
0,-0.1797947870128841,6,-0.49834955115509477,0.1915707380053559,rain,甘蓝,price,8,False
1,-0.15908966793670545,5,-0.47732329470060697,0.16577305555831454,rain,甘蓝,price,8,False
2,-0.1981398534361427,4,-0.5471153980144289,0.28718260242252774,rain,甘蓝,price,8,False
3,-0.29589374597583423,6,-0.5577001882319477,0.09377071984814407,rain,甘蓝,price,8,False
4,-0.19043905727961677,6,-0.5592302686053968,0.2234652113329102,rain,甘蓝,price,8,False
5,-0.23201356853414062,5,-0.715914576028279,0.25132290303007454,rain,甘蓝,price,8,False
6,-0.10424154407729555,4,-0.7949119652120841,0.6033135545276747,rain,甘蓝,price,8,False
7,-0.0873366514104243,6,-0.4968915692732255,0.3576447630107715,rain,甘蓝,price,8,False
8,0.1093634545434069,6,-0.2570763346536931,0.44762290308753944,rain,甘蓝,price,8,False
9,0.14082805378375746,5,-0.3419821520509134,0.5550269095904212,rain,甘蓝,price,8,False
10,-0.04665607530403365,7,-0.4482155127665915,0.43318605051964326,rain,甘蓝,price,8,False
11,-0.02785765403162729,7,-0.45078569631858223,0.46712969843920904,rain,甘蓝,price,8,False
