crop,response,window,window_label,peak_lag,peak_effect,peak_ci_low,peak_ci_high,peak_p,peak_fdr_p,n_lag_fdr_sig,n_lag_fdr_sig_within,max_abs_effect,n_obs_min,sd_mm
西红柿,volume,precip_3d,3日,0.0,-0.047460726171055,-0.13486341647600475,0.03994196413389475,0.2871910563156609,0.9937046081237755,0.0,0.0,0.047460726171055,1400.0,16.14456317656136
西红柿,volume,precip_5d,5日,0.0,-0.038847982615910784,-0.15007252400418952,0.07237655877236795,0.49360927842213764,0.9941663880747483,0.0,0.0,0.038847982615910784,1400.0,22.566304924935245
西红柿,volume,precip_7d,7日,0.0,-0.02647871978506918,-0.15735949685167286,0.10440205728153448,0.6917133131534239,0.9941663880747483,0.0,0.0,0.02647871978506918,1400.0,28.659743783036618
青椒,price,precip_14d,14日,14.0,0.1059271750783165,-0.09669847898584857,0.3085528291424816,0.30553561560899223,0.9937046081237755,0.0,0.0,0.1059271750783165,1400.0,48.034396725796334
青椒,price,precip_1d,1日,6.0,0.06216546380325394,-0.055352922563817464,0.17968385017032534,0.29982413302087696,0.9937046081237755,0.0,0.0,0.06216546380325394,1400.0,8.148008274397107
青椒,price,precip_3d,3日,5.0,0.07849864221233703,-0.05905072111856109,0.21604800554323517,0.2633275147879758,0.9937046081237755,0.0,0.0,0.07849864221233703,1400.0,16.14456317656136
青椒,price,precip_5d,5日,4.0,0.08289810089968389,-0.06910141314409163,0.2348976149434594,0.2850910224501588,0.9937046081237755,0.0,0.0,0.08289810089968389,1400.0,22.566304924935245
青椒,price,precip_7d,7日,14.0,0.080307896719296,-0.09321431378012779,0.2538301072187198,0.3643494068610842,0.9937046081237755,0.0,0.0,0.080307896719296,1400.0,28.659743783036618
青椒,volume,precip_14d,14日,14.0,0.051349487444023914,-0.12418987961158147,0.2268888544996293,0.5664096683230102,0.9941663880747483,0.0,0.0,0.051349487444023914,1400.0,48.034396725796334
青椒,volume,precip_1d,1日,1.0,-0.0639414150898174,-0.161340100516495,0.033457270336860176,0.1981906928607734,0.9937046081237755,0.0,0.0,0.0639414150898174,1400.0,8.148008274397107
青椒,volume,precip_3d,3日,0.0,-0.07282834722911416,-0.1963419635622078,0.05068526910397947,0.24780761782636107,0.9937046081237755,0.0,0.0,0.07282834722911416,1400.0,16.14456317656136
青椒,volume,precip_5d,5日,10.0,0.05606521679699695,-0.08870974336313878,0.20084017695713266,0.4478375573868423,0.9937223906512772,0.0,0.0,0.05606521679699695,1400.0,22.566304924935245
青椒,volume,precip_7d,7日,10.0,0.05030366578326212,-0.10340286927008449,0.20401020083660873,0.521229815419858,0.9941663880747483,0.0,0.0,0.05030366578326212,1400.0,28.659743783036618
韭菜,price,precip_14d,14日,3.0,0.20215418056355514,0.04621612693730415,0.3580922341898061,0.011056917390469654,0.580481718923149,0.0,11.0,0.20215418056355514,1400.0,48.034396725796334
韭菜,price,precip_1d,1日,8.0,0.09952907352451251,0.02945853105828894,0.16959961599073609,0.005369163114178364,0.580481718923149,0.0,4.0,0.09952907352451251,1400.0,8.148008274397107
韭菜,price,precip_3d,3日,8.0,0.13874154650659126,0.037204231667314874,0.24027886134586765,0.007402728931097775,0.580481718923149,0.0,8.0,0.13874154650659126,1400.0,16.14456317656136
韭菜,price,precip_5d,5日,8.0,0.16711977067115666,0.0443940115656003,0.289845529776713,0.007607800493301112,0.580481718923149,0.0,12.0,0.16711977067115666,1400.0,22.566304924935245
韭菜,price,precip_7d,7日,6.0,0.17843354476209375,0.04094941129485377,0.3159176782293337,0.010965930881431815,0.580481718923149,0.0,15.0,0.17843354476209375,1400.0,28.659743783036618
韭菜,volume,precip_14d,14日,0.0,-0.13038849080607742,-0.2874327438213795,0.026655762209224665,0.10366889802822446,0.9693093544917228,0.0,0.0,0.13038849080607742,1400.0,48.034396725796334
韭菜,volume,precip_1d,1日,1.0,-0.10327358768010166,-0.2264466329562925,0.019899457596089187,0.10031086130023303,0.9693093544917228,0.0,0.0,0.10327358768010166,1400.0,8.148008274397107
韭菜,volume,precip_3d,3日,0.0,-0.12658012557905426,-0.27790289170509497,0.024742640546986466,0.10110453500348177,0.9693093544917228,0.0,0.0,0.12658012557905426,1400.0,16.14456317656136
韭菜,volume,precip_5d,5日,0.0,-0.13025648662404735,-0.28721400382368223,0.02670103057558751,0.10382801505916525,0.9693093544917228,0.0,0.0,0.13025648662404735,1400.0,22.566304924935245
韭菜,volume,precip_7d,7日,0.0,-0.136949468984875,-0.30157238190663294,0.027673443936882952,0.10299163244591028,0.9693093544917228,0.0,0.0,0.136949468984875,1400.0,28.659743783036618
黄瓜,price,precip_14d,14日,2.0,0.26708791209552507,0.04223079697897639,0.4919450272120738,0.019906213999823147,0.580481718923149,0.0,0.0,0.26708791209552507,1400.0,48.034396725796334
黄瓜,price,precip_1d,1日,5.0,0.14329360976561845,-0.020048157539638095,0.30663537707087496,0.08553527902692402,0.9197475799657922,0.0,0.0,0.14329360976561845,1400.0,8.148008274397107
黄瓜,price,precip_3d,3日,4.0,0.19392781426908723,-0.0020304406904713967,0.3898860692286459,0.052417221466582925,0.7001461534608521,0.0,0.0,0.19392781426908723,1400.0,16.14456317656136
黄瓜,price,precip_5d,5日,4.0,0.2307660113480959,0.032626909026769346,0.42890511366942247,0.022445293131695094,0.580481718923149,0.0,0.0,0.2307660113480959,1400.0,22.566304924935245
黄瓜,price,precip_7d,7日,6.0,0.24879853235593413,0.04778922586779297,0.44980783884407527,0.015266993142015236,0.580481718923149,0.0,0.0,0.24879853235593413,1400.0,28.659743783036618
黄瓜,volume,precip_14d,14日,0.0,-0.08618088462621594,-0.2625174410343352,0.09015567178190335,0.3381081917368023,0.9937046081237755,0.0,0.0,0.08618088462621594,1400.0,48.034396725796334
黄瓜,volume,precip_1d,1日,8.0,-0.07996928616865301,-0.16414006920239754,0.004201496865091511,0.06257997899923867,0.7609032230551667,0.0,0.0,0.07996928616865301,1400.0,8.148008274397107
黄瓜,volume,precip_3d,3日,8.0,-0.09823954471879037,-0.22377438886729545,0.027295299429714703,0.1250707010281658,0.9937046081237755,0.0,0.0,0.09823954471879037,1400.0,16.14456317656136
黄瓜,volume,precip_5d,5日,7.0,-0.09646460384300357,-0.24065092855238063,0.047721720866373496,0.1897585459209573,0.9937046081237755,0.0,0.0,0.09646460384300357,1400.0,22.566304924935245
黄瓜,volume,precip_7d,7日,7.0,-0.09000598972602332,-0.2567358326703565,0.07672385321830984,0.2900238175721842,0.9937046081237755,0.0,0.0,0.09000598972602332,1400.0,28.659743783036618
