crop,variable,year,value,series_mean,series_sd,anomaly,anomaly_pct,z_within_series,n_years_in_series
花生,yield_kg_per_ha,2024,3930.0,3853.6,177.43815824111792,76.40000000000009,1.9825617604318064,0.4305725485280417,5
蔬菜及食用菌,production_ton,2017,3480930.5999999996,3793266.725,377062.65773747634,-312336.12500000047,-8.23396158623674,-0.8283401142773977,4
蔬菜及食用菌,production_ton,2018,3620311.3000000003,3793266.725,377062.65773747634,-172955.4249999998,-4.55953766341068,-0.45869147063726784,4
蔬菜及食用菌,production_ton,2019,3734825.0,3793266.725,377062.65773747634,-58441.72500000009,-1.5406700671701405,-0.1549920783741178,4
蔬菜及食用菌,production_ton,2025,4337000.0,3793266.725,377062.65773747634,543733.2749999999,14.33416931681755,1.4420236632887822,4
蔬菜及食用菌,yield_kg_per_ha,2017,60019.25275316439,60785.52769076889,1930.9172369300193,-766.2749376045031,-1.2606206883696633,-0.3968450449087138,4
蔬菜及食用菌,yield_kg_per_ha,2018,59200.60706473961,60785.52769076889,1930.9172369300193,-1584.9206260292776,-2.6073979880411065,-0.8208123039748485,4
蔬菜及食用菌,yield_kg_per_ha,2019,60329.85094517157,60785.52769076889,1930.9172369300193,-455.67674559731677,-0.7496467710463217,-0.23598978603650608,4
蔬菜及食用菌,yield_kg_per_ha,2025,63592.4,60785.52769076889,1930.9172369300193,2806.872309231112,4.6176654474571155,1.453647134920076,4
薯类,production_ton,2020,50000.0,33800.0,9284.395510748129,16200.0,47.928994082840234,1.744863193435263,5
薯类,production_ton,2021,33000.0,33800.0,9284.395510748129,-800.0,-2.366863905325444,-0.08616608362643274,5
薯类,production_ton,2022,30000.0,33800.0,9284.395510748129,-3800.0,-11.242603550295858,-0.4092888972255555,5
薯类,production_ton,2023,28000.0,33800.0,9284.395510748129,-5800.0,-17.159763313609467,-0.6247041062916374,5
薯类,production_ton,2024,28000.0,33800.0,9284.395510748129,-5800.0,-17.159763313609467,-0.6247041062916374,5
薯类,yield_kg_per_ha,2020,4992.0,4116.0,499.94349680738924,876.0,21.282798833819243,1.752198009563253,5
薯类,yield_kg_per_ha,2021,3822.0,4116.0,499.94349680738924,-294.0,-7.142857142857142,-0.5880664552643795,5
薯类,yield_kg_per_ha,2022,3816.0,4116.0,499.94349680738924,-300.0,-7.288629737609329,-0.6000678114942648,5
薯类,yield_kg_per_ha,2023,3885.0,4116.0,499.94349680738924,-231.0,-5.612244897959184,-0.46205221485058384,5
薯类,yield_kg_per_ha,2024,4065.0,4116.0,499.94349680738924,-51.0,-1.239067055393586,-0.102011527954025,5
谷子,production_ton,2020,4000.0,2800.0,836.6600265340755,1200.0,42.857142857142854,1.4342743312012725,5
谷子,production_ton,2021,3000.0,2800.0,836.6600265340755,200.0,7.142857142857142,0.23904572186687872,5
谷子,production_ton,2022,2000.0,2800.0,836.6600265340755,-800.0,-28.57142857142857,-0.9561828874675149,5
谷子,production_ton,2023,3000.0,2800.0,836.6600265340755,200.0,7.142857142857142,0.23904572186687872,5
谷子,production_ton,2024,2000.0,2800.0,836.6600265340755,-800.0,-28.57142857142857,-0.9561828874675149,5
谷子,yield_kg_per_ha,2020,3144.0,3039.2,685.7249448576302,104.80000000000018,3.4482758620689715,0.15283095763966803,5
谷子,yield_kg_per_ha,2021,3576.0,3039.2,685.7249448576302,536.8000000000002,17.662542774414327,0.7828211647039474,5
谷子,yield_kg_per_ha,2022,1861.0,3039.2,685.7249448576302,-1178.1999999999998,-38.76678073177152,-1.7181816249146615,5
谷子,yield_kg_per_ha,2023,3465.0,3039.2,685.7249448576302,425.8000000000002,14.010265859436702,0.6209486809443756,5
谷子,yield_kg_per_ha,2024,3150.0,3039.2,685.7249448576302,110.80000000000018,3.6456962358515463,0.1615808216266719,5
高粱,production_ton,2020,7000.0,4800.0,1923.5384061671346,2200.0,45.83333333333333,1.14372553880208,5
高粱,production_ton,2021,6000.0,4800.0,1923.5384061671346,1200.0,25.0,0.6238502938920436,5
高粱,production_ton,2022,2000.0,4800.0,1923.5384061671346,-2800.0,-58.333333333333336,-1.4556506857481017,5
高粱,production_ton,2023,4000.0,4800.0,1923.5384061671346,-800.0,-16.666666666666664,-0.41590019592802907,5
高粱,production_ton,2024,5000.0,4800.0,1923.5384061671346,200.0,4.166666666666666,0.10397504898200727,5
高粱,yield_kg_per_ha,2020,5162.0,4703.2,1045.151041715981,458.8000000000002,9.755060384419123,0.4389796131731539,5
高粱,yield_kg_per_ha,2021,3678.0,4703.2,1045.151041715981,-1025.1999999999998,-21.79792481714577,-0.9809108531497759,5
高粱,yield_kg_per_ha,2022,3606.0,4703.2,1045.151041715981,-1097.1999999999998,-23.328797414526278,-1.0498004175535838,5
高粱,yield_kg_per_ha,2023,5025.0,4703.2,1045.151041715981,321.8000000000002,6.842150025514547,0.3078980809047972,5
高粱,yield_kg_per_ha,2024,6045.0,4703.2,1045.151041715981,1341.8000000000002,28.529511821738396,1.2838335766254094,5
