crop,outcome,exposure,beta,se_cluster,t,p_raw,n,n_clusters,r2,ci_low,ci_high,q_fdr
玉米,log_yield,heavy_rain_days,0.03376674302767502,0.019016753993190277,1.7756312691307135,0.07579371260503372,56,8,0.7451254380253303,-0.0035060947989779268,0.07103958085432796,0.1364286826890607
玉米,log_yield,vpd_mean,-0.7362951097469455,0.6977309832535441,-1.0552707668413626,0.2913015069126669,56,8,0.7245652141954924,-2.103847836923892,0.6312576174300009,0.4369522603690003
玉米,log_yield,et0_sum,-0.0014648068216927598,0.0013855621552187362,-1.0571931516572877,0.2904234446764635,56,8,0.7232802547154337,-0.004180508645921482,0.0012508950025359633,0.37340157172688165
豆类,log_yield,growing_season_temp_mean,-0.3390154520653485,0.2544565484011547,-1.3323117608704074,0.18275776406571065,56,8,0.4412038503268927,-0.8377502869316118,0.15971938280091474,0.274136646098566
豆类,log_yield,growing_season_precip,0.0004596081531397689,0.0010010734917786832,0.45911529664335454,0.6461513725412346,56,8,0.4308204824816494,-0.00150249589074645,0.002421712197025988,0.8307660504101587
豆类,log_yield,max_1d_precip,9.65169499867807e-05,0.0024451144054877996,0.039473388145012216,0.9685129701594889,56,8,0.4239039386406698,-0.004695907284769306,0.004888941184742868,0.9685129701594888
豆类,log_yield,heavy_rain_days,0.09027938261487728,0.03736222703235221,2.4163276599305425,0.015677946021489572,56,8,0.49324062321490514,0.017049417631466945,0.1635093475982876,0.038006399172323235
豆类,log_yield,vpd_mean,-2.249095170500948,1.6409620943468382,-1.3705954441294812,0.170501103971325,56,8,0.4467938372834288,-5.465380875420751,0.9671905344188545,0.306901987148385
豆类,log_yield,et0_sum,-0.007004128408679625,0.003774538382656069,-1.8556251648846545,0.06350700421298028,56,8,0.4696790846013025,-0.01440222363868552,0.0003939668213262708,0.26528027220382494
大豆,log_yield,growing_season_temp_mean,-0.36457270185156115,0.26395169430245585,-1.3812099324272802,0.16721442171053302,56,8,0.44106877505563846,-0.8819180226843746,0.15277261898125233,0.274136646098566
大豆,log_yield,growing_season_precip,0.0005283033579616821,0.00100202175083454,0.5272374152773445,0.5980287291709329,56,8,0.4301176561503324,-0.0014356592736740161,0.00249226598959738,0.8307660504101587
大豆,log_yield,max_1d_precip,-0.00021532828044283116,0.002299001452235613,-0.09366165481689451,0.9253779313499056,56,8,0.4210122106233595,-0.004721371126824633,0.00429071456593897,0.9685129701594888
大豆,log_yield,heavy_rain_days,0.08924257153912474,0.03735474432439592,2.389055879063841,0.016891732965476993,56,8,0.4891966423426949,0.016027272663308736,0.16245787041494075,0.038006399172323235
大豆,log_yield,vpd_mean,-2.449297917894798,1.6859913509221935,-1.4527345686293678,0.14629746509709232,56,8,0.4482671846877567,-5.753840965702297,0.8552451299127011,0.306901987148385
大豆,log_yield,et0_sum,-0.007398640734359309,0.003864864247591555,-1.914333922328547,0.055577502670657294,56,8,0.47238948770308653,-0.014973774659638756,0.000176493190920138,0.26528027220382494
蔬菜及食用菌,log_yield,growing_season_temp_mean,-0.03417747212133236,0.0506803573998725,-0.6743731472070942,0.5000741103105004,56,8,0.97371240556479,-0.13351097262508244,0.06515602838241773,0.6429524275420719
蔬菜及食用菌,log_yield,growing_season_precip,3.33123439613804e-05,0.00013238505811576578,0.25163220408340947,0.8013253641307532,56,8,0.9735670095836935,-0.00022616236994552053,0.0002927870578682813,0.9014910346470973
蔬菜及食用菌,log_yield,max_1d_precip,0.0005562031264423738,0.00032992407256759093,1.6858519056029946,0.09182432733988277,56,8,0.9745342450492575,-9.044805579010433e-05,0.001202854308674852,0.42791683981986184
蔬菜及食用菌,log_yield,heavy_rain_days,0.006670419108782771,0.004514001762954496,1.4777174354528522,0.13948342559711213,56,8,0.9739233228545056,-0.0021770243466080405,0.015517862564173583,0.20922513839566817
蔬菜及食用菌,log_yield,vpd_mean,-0.14621067810715327,0.16790366239711663,-0.8708010058848134,0.3838628159498455,56,8,0.9736298713941195,-0.4753018564055019,0.18288050019119534,0.49353790622122995
蔬菜及食用菌,log_yield,et0_sum,-0.0010113585721615893,0.000748873435976503,-1.3505066725231287,0.17685351480254996,56,8,0.9745234304119754,-0.002479150506675535,0.00045643336235235647,0.26528027220382494
瓜果,log_yield,growing_season_temp_mean,-0.04784719604080102,0.12975914953490159,-0.36873851448857914,0.7123226381536534,56,8,0.8563649043128684,-0.30217512912920813,0.2064807370476061,0.80136296792286
瓜果,log_yield,growing_season_precip,-0.0003540690725579534,0.00035780574525101535,-0.9895567001294501,0.3223908429894121,56,8,0.859366237448681,-0.0010553683332499434,0.0003472301881340367,0.8307660504101587
瓜果,log_yield,max_1d_precip,0.0005344596167537706,0.0008051752908919112,0.6637804497971335,0.5068308401673809,56,8,0.8567989584886943,-0.0010436839533943755,0.002112603186901917,0.6516396516437755
瓜果,log_yield,heavy_rain_days,0.0011382571391289897,0.011248113235252346,0.10119538408998364,0.9193953608724742,56,8,0.856099363255374,-0.02090804480196561,0.02318455908022359,0.9193953608724742
瓜果,log_yield,vpd_mean,-0.2947436343075158,0.7068398397453801,-0.4169878630690783,0.6766872852115322,56,8,0.8564033906352462,-1.6801497202084608,1.0906624515934291,0.7612731958629737
瓜果,log_yield,et0_sum,-0.00018103931180938476,0.0018121865718610892,-0.09990103371280366,0.9204228956742372,56,8,0.8561149186352077,-0.0037329249926571196,0.00337084636903835,0.9204228956742371
甜瓜,log_yield,growing_season_temp_mean,-0.012938963453145533,0.15931837068649407,-0.08121451027519459,0.9352713601049504,56,8,0.5100170504567648,-0.32520296999867393,0.29932504309238284,0.9352713601049503
甜瓜,log_yield,growing_season_precip,-5.588494380742324e-05,0.0006373057512737985,-0.08768937624636942,0.9301235636228287,56,8,0.5100965188707403,-0.0013050042163040682,0.0011932343286892217,0.9301235636228287
甜瓜,log_yield,max_1d_precip,0.0007414540702331586,0.0010953852716426963,0.676888843978371,0.49847648284556734,56,8,0.5117514973463285,-0.0014055010621865263,0.0028884092026528435,0.6516396516437755
甜瓜,log_yield,heavy_rain_days,0.006751685680301794,0.018632852943379637,0.3623538328144595,0.7170876346711235,56,8,0.5103892416129863,-0.029768706088722292,0.04327207744932588,0.806723589005014
甜瓜,log_yield,vpd_mean,-0.3289304453751385,1.1163938378365035,-0.2946365648278601,0.7682715267480006,56,8,0.5104941620963498,-2.5170623675346855,1.8592014767844083,0.7682715267480006
甜瓜,log_yield,et0_sum,0.002045750151388019,0.0022465640697771276,0.9106128682949023,0.36249938783488267,56,8,0.5140006858348286,-0.002357515425375151,0.006449015728151189,0.407811811314243
