crop,model,hazard_key,hazard_label,window,beta_A,se_A,p_A,beta_C,se_C,p_C,beta_B,se_B,p_B,delta_C_to_B,r2_A,r2_C,r2_B,n,fdr_p_volume
土豆,per-crop HAC,volume_z,成交量异常,同日,,,,,,,0.008615279613167298,0.006811419223080502,0.20593268334300474,,0.20791738495646306,0.9627451177474362,0.9627789087742855,1409,0.8096429503926691
土豆,per-crop HAC,price_lag1,价格滞后(上一交易日),t-1,,,,0.9745285011939222,0.006726139847266445,0.0,0.9732102763833962,0.00716436977997686,0.0,,0.20791738495646306,0.9627451177474362,0.9627789087742855,1409,
尖椒,per-crop HAC,precip_3d,3日累计降水,lag0-2,-0.031974436351682484,0.0715728852108459,0.6550631441770436,-0.0035260917946782237,0.010469593580848657,0.7362725208727726,-0.003849150816771031,0.010238894082958817,0.7069657881838795,-0.0003230590220928073,0.06790467144962553,0.941752080637255,0.9417825062230827,1409,
尖椒,per-crop HAC,precip_3d,3日累计降水,lag3-14,-0.054092680146545086,0.17953950437275024,0.7631966660569703,0.009382709086448095,0.014648324228754318,0.5218272946365625,0.008871887904129551,0.014787383064766381,0.5485306601018407,-0.0005108211823185438,0.06790467144962553,0.941752080637255,0.9417825062230827,1409,
尖椒,per-crop HAC,temp_max,日最高气温,lag0-2,0.08736856940415219,0.30648019211235566,0.775589860860396,-0.044398490892961245,0.05664440575818588,0.43315119895538934,-0.04106537953810535,0.056642833023007697,0.46845933472896406,0.0033331113548558944,0.06790467144962553,0.941752080637255,0.9417825062230827,1409,
尖椒,per-crop HAC,temp_max,日最高气温,lag3-14,0.27944152054157945,0.6357337211145301,0.660257633099014,0.015271563754728788,0.06587499989828456,0.8166728551263371,0.011795628782781032,0.06619809794515957,0.8585762575930249,-0.0034759349719477566,0.06790467144962553,0.941752080637255,0.9417825062230827,1409,
尖椒,per-crop HAC,vpd,饱和水汽压差VPD,lag0-2,-0.3115937200169802,0.1630432567974531,0.05599035056760743,-0.0011982799199000728,0.022183750726900837,0.95692232904069,-0.0007398960555356597,0.022261489629721326,0.9734859177707018,0.0004583838643644131,0.06790467144962553,0.941752080637255,0.9417825062230827,1409,
尖椒,per-crop HAC,vpd,饱和水汽压差VPD,lag3-14,-0.6078351193727624,0.39617823249733014,0.12496898918124781,0.015396666720572383,0.03586197466140756,0.6676821717218666,0.017677216027465956,0.036474558098805364,0.6279281127765184,0.002280549306893573,0.06790467144962553,0.941752080637255,0.9417825062230827,1409,
尖椒,per-crop HAC,soil_z,土壤水分异常,lag0-2,-0.07701478716364636,0.116114028777691,0.5071585549097217,0.024139672454913698,0.013041701687143446,0.06417526041099407,0.025452449146677162,0.013168385522403426,0.05325528529683141,0.001312776691763464,0.06790467144962553,0.941752080637255,0.9417825062230827,1409,
尖椒,per-crop HAC,soil_z,土壤水分异常,lag3-14,0.10363674345288676,0.17785478082723088,0.5600923860249926,-0.00410233747783689,0.014523232639776559,0.7775852608967214,-0.002666354800570583,0.015091620894158792,0.8597614575734669,0.001435982677266307,0.06790467144962553,0.941752080637255,0.9417825062230827,1409,
尖椒,per-crop HAC,wind,风速,lag0-2,0.28530796288556465,0.10184153783690025,0.005086735219808882,0.04256270671662593,0.01794299873518258,0.017686984324453654,0.042129365208363335,0.017840467330652334,0.018203644011901634,-0.0004333415082625955,0.06790467144962553,0.941752080637255,0.9417825062230827,1409,
尖椒,per-crop HAC,wind,风速,lag3-14,0.22175130633851867,0.26883157002083014,0.4094449581608852,-0.07393769920438589,0.030343960811889305,0.01482390215890848,-0.07430727925801614,0.030392889624100684,0.014489623033505714,-0.0003695800536302474,0.06790467144962553,0.941752080637255,0.9417825062230827,1409,
尖椒,per-crop HAC,volume_z,成交量异常,同日,,,,,,,-0.004030101867463448,0.006050630643767601,0.5053707622460912,,0.06790467144962553,0.941752080637255,0.9417825062230827,1409,0.8096429503926691
尖椒,per-crop HAC,price_lag1,价格滞后(上一交易日),t-1,,,,0.9669482871998287,0.009803421302085781,0.0,0.9665351190125233,0.009928433657764149,0.0,,0.06790467144962553,0.941752080637255,0.9417825062230827,1409,
甘蓝,per-crop HAC,precip_3d,3日累计降水,lag0-2,0.07771136143464755,0.06424827123860838,0.22645242101383278,0.012397968567692028,0.009179900567723446,0.17683774625865434,0.012409355489421084,0.009147133177016448,0.17489601700441137,1.138692172905631e-05,0.06378966320433643,0.9184820658923789,0.9184877344448332,1409,
甘蓝,per-crop HAC,precip_3d,3日累计降水,lag3-14,0.1830388231161762,0.16029128563796005,0.25348987252919886,0.03847556186785881,0.021857475612477046,0.07835813617423928,0.03900975407032114,0.021756417084627742,0.07296926235633212,0.0005341922024623275,0.06378966320433643,0.9184820658923789,0.9184877344448332,1409,
甘蓝,per-crop HAC,temp_max,日最高气温,lag0-2,0.26961704911351425,0.29889036344879394,0.36702498188362753,0.07505992373806682,0.04677135056890979,0.10853189396546416,0.07695492233388118,0.04637879391324849,0.0970614803335359,0.001894998595814365,0.06378966320433643,0.9184820658923789,0.9184877344448332,1409,
甘蓝,per-crop HAC,temp_max,日最高气温,lag3-14,0.23150345752449544,0.5406398211472226,0.6685035152076181,-0.07221902061462748,0.059311067718014504,0.22336406242488482,-0.07320521518612542,0.05928474825281957,0.21690238519789484,-0.000986194571497942,0.06378966320433643,0.9184820658923789,0.9184877344448332,1409,
甘蓝,per-crop HAC,vpd,饱和水汽压差VPD,lag0-2,-0.31341970710784883,0.16438520528889508,0.05657013886298394,-0.048773498717389535,0.02187452836335552,0.025767782490070574,-0.04938621327475472,0.021909547507495346,0.024190158326274618,-0.0006127145573651821,0.06378966320433643,0.9184820658923789,0.9184877344448332,1409,
甘蓝,per-crop HAC,vpd,饱和水汽压差VPD,lag3-14,-0.23125731705435074,0.3863479866540947,0.5494579353963458,0.06347069040173639,0.03565964957591544,0.07509195993609269,0.06331134845209518,0.035494822514031375,0.07447593693678897,-0.0001593419496412063,0.06378966320433643,0.9184820658923789,0.9184877344448332,1409,
