cluster,crop,response,shock_magnitude,trough_offset,price_shock,recovery_offset,recovery_days,recovery_slope_z_per_day,censored
4,甘蓝,price,-0.49159999584928765,6,-0.10247071153586729,10.0,4.0,0.012970976143780621,False
4,甘蓝,volume,-1.1080919619972636,7,0.048177911391185435,10.0,3.0,0.16059303797061794,False
4,芸豆,price,-1.4961964586302579,11,-0.19413603598848134,14.0,3.0,0.0703816444671231,False
4,芸豆,volume,-0.9180568670653655,14,1.0304719936447984,17.0,3.0,0.14988683543924336,False
4,芹菜,price,-0.5259204975918854,20,-0.10664245791724575,,,,True
4,芹菜,volume,-1.5917981923647648,6,-0.2428166734115742,10.0,4.0,0.16862268986914883,False
4,茄子,price,-0.5967259425016471,20,0.10157037319176931,,,,True
4,茄子,volume,-0.7588021044111696,0,0.36534916138315576,4.0,4.0,0.14051890822429067,False
4,西红柿,price,-0.4581601866200774,20,-0.04688533328068989,,,,True
4,西红柿,volume,-0.35651654429477175,0,1.4742440885702726,4.0,4.0,0.12044477847796344,False
4,青椒,price,-0.03693639873324184,7,0.6054357531492295,10.0,3.0,0.09635582278237072,False
4,青椒,volume,0.1011736139214896,19,1.3377400062952474,20.0,1.0,1.2365663923737578,False
4,韭菜,price,-0.14352535928397292,0,0.9780116012410631,3.0,3.0,0.18300136885023907,False
4,韭菜,volume,-1.3742749224335629,20,0.8178200458653718,,,,True
4,黄瓜,price,-0.9220782211869074,20,0.3610993212319824,,,,True
4,黄瓜,volume,-1.458586267368137,4,0.05901794145420225,6.0,2.0,0.421556724672872,False
5,土豆,price,-0.07977847692733897,0,1.0298676112438345,6.0,6.0,0.07252588811576292,False
5,土豆,volume,-0.2536546445894887,2,0.3689522103119838,8.0,6.0,0.03458926971674847,False
5,尖椒,price,0.20598483232878484,0,0.94753022871241,1.0,1.0,0.0,False
5,尖椒,volume,-0.42467936707785625,1,1.0367172784547667,8.0,7.0,0.1605930379706179,False
5,甘蓝,price,-0.5444165517103553,0,2.5566903884119214,3.0,3.0,0.031011069401222686,False
5,甘蓝,volume,-0.14239249366728127,20,0.36347557594016516,21.0,1.0,0.43841899365978687,False
