crop,lead_k,direction,effect,se,t,p_value,n,r2,fdr_p,fdr_p_within,ci_low,ci_high
甘蓝,11,成交量领先价格,-0.08367999273644454,0.11379005973253999,-0.7353893031880973,0.462102434541678,1399,0.007331774575200178,0.5751489528630327,0.7938104736154783,-0.3067085098122229,0.1393485243393338
甘蓝,12,成交量领先价格,-0.09089904359888472,0.11329036864643734,-0.8023545574519872,0.42234789163676134,1398,0.008570103730821343,0.5513736572589272,0.7938104736154783,-0.3129481661459019,0.13115007894813246
甘蓝,13,成交量领先价格,-0.09568750839910092,0.11213178637886125,-0.8533486488461014,0.39346598926290255,1397,0.009464559041031828,0.5210495558444133,0.7938104736154783,-0.31546580970166893,0.12409079290346711
甘蓝,14,成交量领先价格,-0.09776258986156504,0.11032079069548398,-0.8861665081010608,0.37552780835922794,1396,0.009896671711294158,0.5065258810426796,0.7938104736154783,-0.31399133962471365,0.11846615990158356
芸豆,-14,价格领先成交量,0.081418946514738,0.0873125441762958,0.9324999893525283,0.3510781921805525,1396,0.017889125993014177,0.48024847043566143,0.9652311350865473,-0.08971364007080176,0.2525515331002778
芸豆,-13,价格领先成交量,0.06673211888697156,0.08878506850501791,0.7516142073281165,0.45228309693614765,1397,0.015713150801570652,0.5702699917890558,0.9652311350865473,-0.10728661538286355,0.24075085315680667
芸豆,-12,价格领先成交量,0.05341700764608374,0.0893459515138607,0.5978671304182919,0.5499285935780143,1398,0.014117147410729336,0.6562933832824038,0.9652311350865473,-0.12170105732108324,0.2285350726132507
芸豆,-11,价格领先成交量,0.03404817572981669,0.08964458847121287,0.37981295146165367,0.7040842676667882,1399,0.012426375910756127,0.7676106677570247,0.9652311350865473,-0.14165521767376052,0.2097515691333939
芸豆,-10,价格领先成交量,0.01701237053157842,0.08870137479034515,0.1917937638710664,0.8479037559930372,1400,0.011553530632098408,0.8678122150392608,0.9652311350865473,-0.15684232405749807,0.1908670651206549
芸豆,-9,价格领先成交量,-0.005379717639732758,0.08738063526877343,-0.06156647434738058,0.9509080758690194,1401,0.011288085677758852,0.9575116041736654,0.9652311350865473,-0.17664576276652866,0.16588632748706317
芸豆,-8,价格领先成交量,-0.02804109399217687,0.08712053947793139,-0.3218654769611476,0.7475546079499168,1402,0.012035182720613324,0.7909961406554538,0.9652311350865473,-0.1987973513689224,0.14271516338456863
芸豆,-7,价格领先成交量,-0.04230789497372587,0.08735581418882674,-0.4843168753744759,0.6281610013595504,1403,0.013031068447224015,0.7315074028875033,0.9652311350865473,-0.21352529078382626,0.12890950083637454
芸豆,-6,价格领先成交量,-0.05351183443657955,0.08845276421138351,-0.6049763951830552,0.545194680902684,1404,0.014098388145347363,0.6543162899963899,0.9652311350865473,-0.22687925229089123,0.11985558341773211
芸豆,-5,价格领先成交量,-0.0678809206193882,0.08851109366786282,-0.7669199171135634,0.4431291309645392,1405,0.015832576384633756,0.5620066346414985,0.9652311350865473,-0.2413626642083993,0.1056008229696229
芸豆,-4,价格领先成交量,-0.0866280602611256,0.08902492329661955,-0.9730764942362499,0.33051528552080056,1406,0.018712413426136054,0.4630407381692375,0.9652311350865473,-0.2611169099224999,0.08786078940024872
芸豆,-3,价格领先成交量,-0.09904004632566332,0.09151693323315721,-1.0822046022165048,0.27916162397945554,1407,0.0209916288944334,0.43132320661410656,0.9652311350865473,-0.27841323546265145,0.08033314281132481
芸豆,-2,价格领先成交量,-0.10674348096522158,0.0943050267023507,-1.131895983679954,0.257678167431581,1408,0.02252153369240395,0.4270095346009057,0.9652311350865473,-0.29158133330182895,0.07809437137138579
芸豆,-1,价格领先成交量,-0.11082648178532178,0.09754609884202362,-1.136144685445656,0.2558960160563728,1409,0.023332034527027146,0.42649336009395467,0.9652311350865473,-0.30201683551568803,0.08036387194504449
芸豆,0,同日,-0.09983563084340359,0.10185420481449503,-0.9801817315763466,0.32699642048804434,1410,0.02094598592357999,0.4625803021538188,0.9652311350865473,-0.29946987227981386,0.09979861059300667
芸豆,1,成交量领先价格,-0.08661158370606818,0.1003894287473991,-0.8627560171101394,0.3882716261969176,1409,0.01903679853647633,0.5188883483737609,0.9652311350865473,-0.2833748640509704,0.11015169663883405
芸豆,2,成交量领先价格,-0.07614632926762886,0.09596624379439453,-0.7934699354365752,0.42750407885228725,1408,0.017410104335093046,0.5534651020855504,0.9652311350865473,-0.26424016710464215,0.11194750856938442
芸豆,3,成交量领先价格,-0.06447024928723284,0.09384196378731204,-0.6870087398570572,0.4920772209020806,1407,0.015780644158706725,0.5995898910151403,0.9652311350865473,-0.24840049831036443,0.11945999973589876
芸豆,4,成交量领先价格,-0.04857815308670127,0.09390563418561136,-0.5173081839869479,0.6049410419602144,1406,0.013989136119876955,0.7102546646496444,0.9652311350865473,-0.23263319609049954,0.135476889917097
芸豆,5,成交量领先价格,-0.038348547301681635,0.09408519941277044,-0.4075938355982959,0.6835718907322006,1405,0.013099965576111594,0.75653402594461,0.9652311350865473,-0.2227555381507117,0.14605844354734843
芸豆,6,成交量领先价格,-0.03343708653225119,0.09418500203192076,-0.35501497914624286,0.7225783694981965,1404,0.012743831992024113,0.7734918006750178,0.9652311350865473,-0.2180396905148159,0.1511655174503135
芸豆,7,成交量领先价格,-0.029634821569786484,0.09303605039260596,-0.3185305206393597,0.7500825471732752,1403,0.01249613176548936,0.7909961406554538,0.9652311350865473,-0.21198548033929415,0.1527158371997212
芸豆,8,成交量领先价格,-0.026434866076224618,0.09234996142329874,-0.2862466390760769,0.7746892246463112,1402,0.012312358049111904,0.8110464806766435,0.9652311350865473,-0.20744079046589015,0.15457105831344092
芸豆,9,成交量领先价格,-0.02527278049755804,0.09150966358949202,-0.27617608355474377,0.7824128256935071,1401,0.012249810820755935,0.8132769080296244,0.9652311350865473,-0.20463172113296238,0.1540861601378463
芸豆,10,成交量领先价格,-0.020573742786909804,0.09141463250072228,-0.22505962365212426,0.8219328908557884,1400,0.0120325728176649,0.8512876369577809,0.9652311350865473,-0.19974642248832547,0.15859893691450588
芸豆,11,成交量领先价格,-0.017669798053123048,0.09101517982581113,-0.19414122003538628,0.846065306667569,1399,0.011921257663244478,0.8678122150392608,0.9652311350865473,-0.19605955051171287,0.16071995440546677
芸豆,12,成交量领先价格,-0.013487544291774772,0.0910457927300661,-0.14814022578465366,0.8822321040701664,1398,0.011793433053768676,0.8977098602819237,0.9652311350865473,-0.19193729804270432,0.1649622094591548
芸豆,13,成交量领先价格,-0.010066498806933565,0.09165065796125038,-0.10983553234489217,0.9125398107756642,1397,0.01171520173979479,0.9220785544423087,0.9652311350865473,-0.1897017884109843,0.1695687907971172
芸豆,14,成交量领先价格,-0.004002397479526386,0.09181893454652747,-0.043590110245705894,0.9652311350865473,1396,0.011628957093918757,0.9685710352079541,0.9652311350865473,-0.18396750919072022,0.17596271423166746
芹菜,-14,价格领先成交量,-0.1656830444388765,0.06327013810750343,-2.6186610207387484,0.008827561894041241,1396,0.04464207037333945,0.05472861048817796,0.033581237112515296,-0.2896925151295832,-0.04167357374816978
芹菜,-13,价格领先成交量,-0.16467978732722266,0.06354274517432787,-2.5916379104400975,0.009552024796566028,1397,0.04424869057874303,0.05472861048817796,0.033581237112515296,-0.2892235678689053,-0.04013600678554004
芹菜,-12,价格领先成交量,-0.16504490081443374,0.06402930768774473,-2.5776461869510965,0.009947579453933405,1398,0.044472345417763015,0.05547688541616706,0.033581237112515296,-0.2905423438824134,-0.03954745774645407
