target_kind,target,feature_set,model,split,stratum,stratum_value,n,mae,rmse,r2,bias,nrmse_sd,mape
strict,price,F_lag,gam,valid,period,normal,2360,0.04754795217560266,0.06510402636716661,0.9605463361566094,-0.00813049531494011,0.19858737671166227,
strict,price,F_lag,gam,valid,period,extreme,140,0.05068754802363014,0.06619480692939826,0.9113465941333263,-0.004962879989866812,0.2966819294351111,
strict,price,F_lag,lightgbm,valid,period,normal,2360,0.05650957371259075,0.07954822379330412,0.94109765069123,-0.0017192245948575578,0.24264663749201557,
strict,price,F_lag,lightgbm,valid,period,extreme,140,0.05496945878469751,0.07309161080111042,0.891910713184233,0.028675867561349946,0.3275930714794937,
strict,price,F_now,baseline_mean,valid,period,normal,2360,0.2637397480015334,0.33324255105724904,-0.03369530573097679,0.0922455952022631,1.016492645937735,
strict,price,F_now,baseline_mean,valid,period,extreme,140,0.18616787005740684,0.22848751226182512,-0.056264110323601235,0.10937659782980812,1.0240700008683161,
strict,price,F_now,baseline_seasonal_naive,valid,period,normal,2360,0.30576892087175794,0.412290610123808,-0.5822624840716528,0.04049126410169296,1.2576136266224764,
strict,price,F_now,baseline_seasonal_naive,valid,period,extreme,140,0.24282435936830865,0.31561931377814445,-1.0154625268123287,0.17646301062157152,1.4145905294135566,
strict,price,F_now,baseline_persistence,valid,period,normal,2360,0.03311931207962319,0.05350053658364693,0.9733567058993584,-0.001959952149365393,0.16319315111009702,
strict,price,F_now,baseline_persistence,valid,period,extreme,140,0.03516356726034333,0.052389612248707376,0.9444686855509172,-0.006189181280943181,0.2348077132528186,
strict,price,F_now,elasticnet,valid,period,normal,2360,0.04001029987288755,0.05868077237813362,0.9679473983430718,0.003226384515547917,0.1789944693169503,
strict,price,F_now,elasticnet,valid,period,extreme,140,0.03812088246110105,0.0527229879407352,0.9437597017784888,0.0022376193595671436,0.23630188701244706,
strict,price,F_now,gam,valid,period,normal,2360,0.050665601246781475,0.06872940645964128,0.9560299631137322,-0.007771898026016379,0.20964590507497585,
strict,price,F_now,gam,valid,period,extreme,140,0.05856200733951198,0.07535321619989696,0.8851182157127961,0.0022985503480667116,0.33772947770919237,
strict,price,F_now,lightgbm,valid,period,normal,2360,0.055370056152619224,0.08091706378226968,0.9390530644873587,-0.005218826087641497,0.24682202199148767,
strict,price,F_now,lightgbm,valid,period,extreme,140,0.05019499556027915,0.06614637152852183,0.9114762838320638,0.017393139320818395,0.29646484430635917,
strict,volume,F_wx,baseline_mean,valid,period,normal,2360,0.05716253329210849,0.08140025499377639,0.4016571573775385,0.020162738810169948,0.7733623390879952,
strict,volume,F_wx,baseline_mean,valid,period,extreme,140,0.04491769768739952,0.05702115415554457,0.5491723805549567,0.0012862104854826878,0.6690346942896855,
strict,volume,F_wx,baseline_seasonal_naive,valid,period,normal,2360,0.06104017363776288,0.08371575598941704,0.3671322334973427,0.002206898639219727,0.7953613029276804,
