target_kind,target,feature_set,model,split,stratum,stratum_value,n,mae,rmse,r2,bias,nrmse_sd,mape
hist,price,F_wx,elasticnet,valid,season,冬(12-2),640,1.754411207272382,2.0351461132510607,-0.5467485316971836,-0.0637885003810735,1.2427114456366801,
hist,price,F_wx,elasticnet,valid,season,夏(6-8),620,0.6836994470097966,0.8896860614797123,-0.9950950404443328,0.37658813796256857,1.4113387776213795,
hist,price,F_wx,elasticnet,valid,season,春(3-5),600,1.222408289613464,1.3889449562262997,-4.68238366840569,1.20861258828463,2.3817877800002134,
hist,price,F_wx,elasticnet,valid,season,秋(9-11),640,1.5009599437637418,1.9060278569809548,-0.9642559630373302,-0.3033730229192,1.4004237976752196,
hist,price,F_wx,elasticnet,valid,period,normal,2360,1.323633572016392,1.6556566268888149,-0.7350965861123406,0.2774544166868627,1.3169515464490318,
hist,price,F_wx,elasticnet,valid,period,extreme,140,0.8357209829899012,1.0517833201166964,-1.2951827087549446,0.4919742872457101,1.5095656814294478,
hist,price,F_wx,elasticnet,valid,overall,all,2500,1.2963104670309085,1.6277719822488899,-0.7450222064598533,0.28946752943815823,1.320728661602098,
hist,price,F_wx,gam,valid,crop,土豆,250,1.3958093197874162,1.6527531843912608,-7.5062057264556294,1.3371362774459754,2.910701101719276,
hist,price,F_wx,gam,valid,crop,尖椒,250,1.2732284905536067,1.562519624583873,-1.0302017135877,0.313243332829695,1.4219989123530823,
hist,price,F_wx,gam,valid,crop,甘蓝,250,1.6090785342748004,1.8630419266974414,-0.9340961479491121,0.4598583551550114,1.3879336307465553,
hist,price,F_wx,gam,valid,crop,芸豆,250,1.3536430777130506,1.5648715539024904,-1.0596702322069858,0.34581008435635585,1.4322819384737622,
hist,price,F_wx,gam,valid,crop,芹菜,250,1.1687919036399652,1.4090731045929592,-1.6199764707059394,0.3068978756421673,1.6153936253505259,
hist,price,F_wx,gam,valid,crop,茄子,250,1.5602417010696412,1.8145960734745226,-1.129898549152505,0.4964812806270589,1.4564954359543647,
hist,price,F_wx,gam,valid,crop,西红柿,250,1.1505237652514402,1.5859330398959137,-0.8855810107390065,-0.2305336623275824,1.3704155160738842,
hist,price,F_wx,gam,valid,crop,青椒,250,1.3805298636569792,1.6152998575770938,-1.2087379131300957,0.645437179950764,1.4832069853791734,
hist,price,F_wx,gam,valid,crop,韭菜,250,1.256101243214087,1.8423188787774585,-0.8762790216811629,-0.3574244684957448,1.367031055095106,
hist,price,F_wx,gam,valid,crop,黄瓜,250,1.4648353366620581,2.0452081040711176,-0.5523887141935353,-0.5818345949500667,1.2434545264450811,
hist,price,F_wx,gam,valid,season,冬(12-2),640,1.828817029351957,2.1175968243028866,-0.6746153846208844,-0.09225502501543766,1.2930579252618246,
hist,price,F_wx,gam,valid,season,夏(6-8),620,0.7492827467523056,0.967759285662767,-1.360612540416784,0.37128186447799333,1.5351889462979684,
hist,price,F_wx,gam,valid,season,春(3-5),600,1.2194828478821251,1.3990065477199058,-4.765008840900212,1.1944901081730268,2.399041577970679,
hist,price,F_wx,gam,valid,season,秋(9-11),640,1.6195435913356313,2.032246199658458,-1.2330180475499928,-0.3188713903310676,1.4931607270654745,
hist,price,F_wx,gam,valid,period,normal,2360,1.3827154374616994,1.7285687935650065,-0.8912826927741333,0.2472346374212521,1.3749477451171077,
hist,price,F_wx,gam,valid,period,extreme,140,0.9999098324725005,1.243697230128311,-2.209179720969298,0.7163869338875253,1.7850089659933532,
hist,price,F_wx,gam,valid,overall,all,2500,1.3612783235823045,1.705064428914854,-0.9146765067165854,0.27350716602336345,1.383441591146478,
hist,price,F_wx,lightgbm,valid,crop,土豆,250,1.2756667757328795,1.5724673018562885,-6.699865228868173,1.24441940031187,2.7693078138684224,
hist,price,F_wx,lightgbm,valid,crop,尖椒,250,1.4754572893703748,1.7110190660273905,-1.4344335617453243,0.8337789979422122,1.5571434832726054,
hist,price,F_wx,lightgbm,valid,crop,甘蓝,250,1.7302853336168416,1.9196662121243233,-1.0534505307099775,0.5969181824389568,1.4301177324217533,
hist,price,F_wx,lightgbm,valid,crop,芸豆,250,1.2643463970934472,1.4792211488827096,-0.8403758050825312,0.3923377862773175,1.3538885854686127,
hist,price,F_wx,lightgbm,valid,crop,芹菜,250,1.6500877982134063,1.8273530285326283,-3.4063120970241583,1.244014586723577,2.094919294062676,
hist,price,F_wx,lightgbm,valid,crop,茄子,250,1.5343049179407309,1.771328743184941,-1.0295386392347203,0.5957611737505529,1.4217666772989799,
hist,price,F_wx,lightgbm,valid,crop,西红柿,250,1.0719837965812544,1.4337582966239393,-0.541087827353562,0.23747912827924,1.2389202863962425,
hist,price,F_wx,lightgbm,valid,crop,青椒,250,1.5258585354758492,1.8503919506257889,-1.8984468267675294,1.1401946049257425,1.6990741712651805,
hist,price,F_wx,lightgbm,valid,crop,韭菜,250,1.2689266423096328,1.8081256687763658,-0.8072783295495072,-0.2053509834268954,1.3416591281809658,
hist,price,F_wx,lightgbm,valid,crop,黄瓜,250,1.3273122793184007,2.0463384735411654,-0.5541051730016424,-0.6105701008795633,1.2441417733962783,
hist,price,F_wx,lightgbm,valid,season,冬(12-2),640,1.82350575619965,2.1348641742288414,-0.7020370957856843,0.28184972388015433,1.303601803781937,
hist,price,F_wx,lightgbm,valid,season,夏(6-8),620,0.873801608187058,1.0983585016308195,-2.0407327219801297,0.7364603516572131,1.7423628538177782,
hist,price,F_wx,lightgbm,valid,season,春(3-5),600,1.171720297848413,1.3731658774444016,-4.554007848830642,1.105933631402095,2.3547295320445167,
hist,price,F_wx,lightgbm,valid,season,秋(9-11),640,1.7487884088443824,2.1196518919468965,-1.4292302420515117,0.10421292802144463,1.5573806759422393,
hist,price,F_wx,lightgbm,valid,period,normal,2360,1.4339181726980277,1.7742219222339073,-0.9925030457338639,0.5279736744207939,1.4112614090884372,
hist,price,F_wx,lightgbm,valid,period,extreme,140,1.05007538461328,1.3167057607678958,-2.597014399111646,0.8659130175191354,1.8897940202884524,
hist,price,F_wx,lightgbm,valid,overall,all,2500,1.4124229765652818,1.7517622740192815,-1.020989970584603,0.546898277634301,1.4213309166398826,
hist,price,F_lag,baseline_mean,valid,crop,土豆,250,1.29413272475877,1.4127664173956116,-5.215278627106473,1.29413272475877,2.4880549657509676,
hist,price,F_lag,baseline_mean,valid,crop,尖椒,250,0.8310730142919109,1.1293765462633207,-0.060634520037033734,0.27003238838892035,1.0278093120598224,
hist,price,F_lag,baseline_mean,valid,crop,甘蓝,250,1.204199391648032,1.402926404306363,-0.0967372166578333,0.4166586404094559,1.0451556189349038,
hist,price,F_lag,baseline_mean,valid,crop,芸豆,250,0.8947009973506213,1.1315958172374778,-0.07701801373438943,0.30260493540314226,1.035717114698532,
hist,price,F_lag,baseline_mean,valid,crop,芹菜,250,0.7525856583429508,0.9095937870343594,-0.09175530427619116,0.2636941042493676,1.0427791151816794,
hist,price,F_lag,baseline_mean,valid,crop,茄子,250,1.1332737995447992,1.3234146263334494,-0.13289808951431237,0.4532730276526999,1.0622459682937164,
hist,price,F_lag,baseline_mean,valid,crop,西红柿,250,0.8642021135122329,1.186947379723876,-0.05618120328179299,-0.27375229406927976,1.0256492960406427,
hist,price,F_lag,baseline_mean,valid,crop,青椒,250,0.9172082340737276,1.2425734861850284,-0.3070194225512739,0.6022322201503088,1.1409607113573494,
hist,price,F_lag,baseline_mean,valid,crop,韭菜,250,0.8957610954044747,1.4033853466736719,-0.08873376773447728,-0.40064576121764933,1.041335120248779,
hist,price,F_lag,baseline_mean,valid,crop,黄瓜,250,1.2680070366485452,1.756465236639766,-0.14499762148784945,-0.625054240192374,1.067903380930081,
hist,price,F_lag,baseline_mean,valid,season,冬(12-2),640,1.480911077103173,1.6829265291158146,-0.057691065641759964,0.2603724641790521,1.0276373014598559,
hist,price,F_lag,baseline_mean,valid,season,夏(6-8),620,0.6431173303119119,0.8482835801937775,-0.8137279143266147,0.43325488863038475,1.3456606357930152,
hist,price,F_lag,baseline_mean,valid,season,春(3-5),600,0.7882829150641552,0.9596665089578975,-1.712696212349396,0.7041451235421817,1.645653381485749,
hist,price,F_lag,baseline_mean,valid,season,秋(9-11),640,1.0848444269001674,1.513091230556585,-0.2378551316095625,-0.4405461652615633,1.1117198311474086,
hist,price,F_lag,baseline_mean,valid,period,normal,2360,1.0272687422613695,1.3301866509840352,-0.11997488049190941,0.23157674781323892,1.0580644190523478,
hist,price,F_lag,baseline_mean,valid,period,extreme,140,0.63879846183703,0.8486221535362519,-0.4941473707746422,0.20909151102926105,1.2179798395518802,
hist,price,F_lag,baseline_mean,valid,overall,all,2500,1.0055144065576065,1.3079140859800544,-0.12660650405828222,0.23031757455333618,1.0612049102113403,
hist,price,F_lag,baseline_seasonal_naive,valid,crop,土豆,250,1.2144740863328078,1.4458529787974082,-5.509807481054783,1.2079386908860406,2.546324459123496,
hist,price,F_lag,baseline_seasonal_naive,valid,crop,尖椒,250,1.0755578784429245,1.4706766171292818,-0.7985503641088152,0.02882994033284791,1.3384155418450503,
hist,price,F_lag,baseline_seasonal_naive,valid,crop,甘蓝,250,1.610959304120402,2.1317065898460217,-1.5321396767731268,0.036014785692503895,1.588084102957408,
hist,price,F_lag,baseline_seasonal_naive,valid,crop,芸豆,250,1.2316609597489045,1.5517666956129894,-1.0253176786353415,0.1113599805578188,1.4202874384858863,
hist,price,F_lag,baseline_seasonal_naive,valid,crop,芹菜,250,1.0360050912964716,1.4853755187262938,-1.911406610180669,-0.08564327084157111,1.7028684575562336,
hist,price,F_lag,baseline_seasonal_naive,valid,crop,茄子,250,1.3958897317488295,1.699986087492214,-0.8693461095592594,0.3791952535238709,1.364503105573975,
hist,price,F_lag,baseline_seasonal_naive,valid,crop,西红柿,250,1.081914521359813,1.4315513601868093,-0.5363471882930526,-0.4217511009395686,1.2370132576249457,
hist,price,F_lag,baseline_seasonal_naive,valid,crop,青椒,250,1.1486781199236726,1.4674198648886998,-0.8228320848228439,0.4678711680439184,1.3474200371389586,
hist,price,F_lag,baseline_seasonal_naive,valid,crop,韭菜,250,1.1984868361071166,1.8041533972104054,-0.7993462320514026,-0.5219539096824276,1.3387116370313648,
hist,price,F_lag,baseline_seasonal_naive,valid,crop,黄瓜,250,1.561932810394932,2.2180337200451548,-0.8258359566858178,-0.8382140824089622,1.3485297968006025,
hist,price,F_lag,baseline_seasonal_naive,valid,season,冬(12-2),640,1.652639658957069,1.9936144139049403,-0.4842629700916894,-0.08370107618972078,1.2173511445761742,
hist,price,F_lag,baseline_seasonal_naive,valid,season,夏(6-8),620,0.6896209388772528,0.9177306366027348,-1.1228557075574455,0.3576072902112365,1.455826825806835,
hist,price,F_lag,baseline_seasonal_naive,valid,season,春(3-5),600,0.9740480051847021,1.208408661968178,-3.301185199964535,0.8289181969158782,2.0722008971054406,
hist,price,F_lag,baseline_seasonal_naive,valid,season,秋(9-11),640,1.6706354186276975,2.2457495597305956,-1.7268562201842168,-0.897792008637429,1.6500289413644171,
hist,price,F_lag,baseline_seasonal_naive,valid,period,normal,2360,1.2868207016146949,1.7241100323973468,-0.8815383286691454,0.034779595889926025,1.3714011326615827,
hist,price,F_lag,baseline_seasonal_naive,valid,period,extreme,140,0.7285212789877766,1.050685957246434,-1.2903959160014726,0.0630858392206592,1.507990697972932,
hist,price,F_lag,baseline_seasonal_naive,valid,overall,all,2500,1.2555559339475877,1.6934913628719555,-0.8887731136739854,0.03636474551644707,1.3740515290295758,
hist,price,F_lag,baseline_persistence,valid,crop,土豆,250,0.08326386389335952,0.1399029871768102,0.9390499800627108,-0.0023249727561681748,0.24638632238324457,
hist,price,F_lag,baseline_persistence,valid,crop,尖椒,250,0.160971289642827,0.282718762095168,0.9335343142395922,-0.00935465971994972,0.25729326267387226,
hist,price,F_lag,baseline_persistence,valid,crop,甘蓝,250,0.14085097149111586,0.27514369230800173,0.9578155952887837,-0.012598328552324118,0.20497723554671002,
hist,price,F_lag,baseline_persistence,valid,crop,芸豆,250,0.16769940929596946,0.27483342212381234,0.9364699215914263,-0.007303769806359156,0.251547128973756,
hist,price,F_lag,baseline_persistence,valid,crop,芹菜,250,0.164088272445213,0.31053051617218763,0.872755531938133,-0.002747016911322862,0.35599928397346464,
hist,price,F_lag,baseline_persistence,valid,crop,茄子,250,0.12840137400173487,0.19603004363336415,0.9751432549833111,-0.014253421627565047,0.15734458375369045,
hist,price,F_lag,baseline_persistence,valid,crop,西红柿,250,0.13828629152431773,0.23925084306766004,0.9570876344566794,-0.01455645173940187,0.2067382791868677,
hist,price,F_lag,baseline_persistence,valid,crop,青椒,250,0.13525653803020515,0.2152820681629105,0.9607668128221765,-0.007722080277151946,0.19767714695713365,
hist,price,F_lag,baseline_persistence,valid,crop,韭菜,250,0.15404320658148493,0.2431542906854712,0.9673162640720466,-0.008099406420545125,0.1804245021726305,
hist,price,F_lag,baseline_persistence,valid,crop,黄瓜,250,0.1944784994531483,0.30891735635566725,0.9645831374435131,-0.00869887086303247,0.1878169191160928,
hist,price,F_lag,baseline_persistence,valid,season,冬(12-2),640,0.1858478111122308,0.3009044014174907,0.966186852154662,0.0051443723684045485,0.1837398018988526,
hist,price,F_lag,baseline_persistence,valid,season,夏(6-8),620,0.0952192549344278,0.14392411071338135,0.947789587416325,-0.002090522887414758,0.22831163404609509,
hist,price,F_lag,baseline_persistence,valid,season,春(3-5),600,0.09375419074214425,0.13206272442991476,0.9486286488750517,-0.022042949253903737,0.2264635339440032,
hist,price,F_lag,baseline_persistence,valid,season,秋(9-11),640,0.2071935585521632,0.3528448915184615,0.932685711280149,-0.01669570194014787,0.2592471989120158,
hist,price,F_lag,baseline_persistence,valid,period,normal,2360,0.15019986699632668,0.2590095881116134,0.9575365971098642,-0.007475005960035472,0.2060228383524736,
hist,price,F_lag,baseline_persistence,valid,period,extreme,140,0.08830887841795013,0.13658419712819653,0.9612951299871451,-0.030526647162652906,0.19603164707674184,
hist,price,F_lag,baseline_persistence,valid,overall,all,2500,0.1467339716359376,0.2537200153699869,0.9576041567197037,-0.008765897867382048,0.2058613245439371,
hist,price,F_lag,elasticnet,valid,crop,土豆,250,0.10934019136034269,0.1520245315899188,0.9280307089083702,0.04986654540093203,0.26773384905025227,
hist,price,F_lag,elasticnet,valid,crop,尖椒,250,0.16862470840997973,0.2851482274230525,0.9323870972822621,0.008364829101958684,0.2595042410190379,
hist,price,F_lag,elasticnet,valid,crop,甘蓝,250,0.15499964290195614,0.27719370288294976,0.9571846476030904,-0.02661032644504535,0.20650445754831048,
hist,price,F_lag,elasticnet,valid,crop,芸豆,250,0.17746773832015014,0.27715219537221186,0.9353933910796322,0.020565511022499913,0.2536694354562379,
hist,price,F_lag,elasticnet,valid,crop,芹菜,250,0.16575240910875189,0.3054985116027688,0.8768459956467359,-0.014851710613690056,0.3502304788790533,
hist,price,F_lag,elasticnet,valid,crop,茄子,250,0.13781711666702404,0.20466388163088692,0.9729054840011951,-0.010995315078229989,0.16427458091503272,
hist,price,F_lag,elasticnet,valid,crop,西红柿,250,0.14866067938393845,0.2431335593950792,0.9556835138248403,-0.025505250691518315,0.21009336074816606,
hist,price,F_lag,elasticnet,valid,crop,青椒,250,0.1479728943367155,0.22395165306853554,0.9575432817905204,0.017868760680328683,0.2056377672915208,
hist,price,F_lag,elasticnet,valid,crop,韭菜,250,0.1594418598925911,0.24827577667592868,0.9659249488664502,-0.016947078593989726,0.18422472941767498,
hist,price,F_lag,elasticnet,valid,crop,黄瓜,250,0.2010143977156199,0.3101467640000555,0.9643006774075513,-0.026184329978982183,0.18856437972766465,
hist,price,F_lag,elasticnet,valid,season,冬(12-2),640,0.20399714683980533,0.3096716839651023,0.9641877576933662,0.020110651184521912,0.1890933253132688,
hist,price,F_lag,elasticnet,valid,season,夏(6-8),620,0.10407183847084281,0.14639464013479464,0.9459817676415977,0.01280826030437284,0.23223071755730124,
hist,price,F_lag,elasticnet,valid,season,春(3-5),600,0.09493884090217904,0.12861831501206444,0.9512733992994049,0.013437006114718783,0.22055699875412568,
hist,price,F_lag,elasticnet,valid,season,秋(9-11),640,0.21988576742744065,0.3546785617885507,0.9319842532727043,-0.05465817674151646,0.2605944591180601,
hist,price,F_lag,elasticnet,valid,period,normal,2360,0.1602314164155357,0.26230219329153365,0.9564501206809268,-0.0021268453219322188,0.20864186056584783,
hist,price,F_lag,elasticnet,valid,period,extreme,140,0.1044769055971652,0.13946588781963112,0.95964468917723,-0.007769545279814603,0.2001675763019759,
hist,price,F_lag,elasticnet,valid,overall,all,2500,0.15710916380970696,0.25698004791830853,0.9565076743128168,-0.002442836519573634,0.20850642377852127,
hist,price,F_lag,gam,valid,crop,土豆,250,0.12729815581793613,0.17463946106010447,0.9050260191634737,0.05979339243859364,0.3075615140312263,
hist,price,F_lag,gam,valid,crop,尖椒,250,0.18426252062078372,0.2934819299635284,0.9283772550240857,-0.006091098812916357,0.26708847597006247,
hist,price,F_lag,gam,valid,crop,甘蓝,250,0.16690388630626926,0.28473715633044155,0.9548226149338719,-0.04409630672637149,0.2121241983505502,
hist,price,F_lag,gam,valid,crop,芸豆,250,0.18092763935351097,0.27764487427492723,0.9351634913692124,-0.006620271822213695,0.25412037028987744,
hist,price,F_lag,gam,valid,crop,芹菜,250,0.16965637042430462,0.30568243808986184,0.8766976603771667,-0.0178902593613865,0.35044133640930825,
hist,price,F_lag,gam,valid,crop,茄子,250,0.147457997000274,0.20919799925956434,0.9716916838307282,-0.022388344923265743,0.16791391516069984,
hist,price,F_lag,gam,valid,crop,西红柿,250,0.15778674741761056,0.2497296879574539,0.9532463145068567,-0.04799570015971858,0.21579312025912856,
hist,price,F_lag,gam,valid,crop,青椒,250,0.16723321506667793,0.24077973622772716,0.9509230296127764,0.008129779498490208,0.22108971596543037,
hist,price,F_lag,gam,valid,crop,韭菜,250,0.17430949394352024,0.2558079802052495,0.9638260449015946,-0.049257359004003916,0.18981374891722616,
hist,price,F_lag,gam,valid,crop,黄瓜,250,0.21086274003948688,0.31154090916113264,0.9639790109925441,-0.05947759982332048,0.18941199817177906,
hist,price,F_lag,gam,valid,season,冬(12-2),640,0.20716276640481848,0.30881475573220823,0.9643856838340434,0.014378676149853243,0.1885700633635872,
