method,crop,response,hazard_key,hazard_label,window,lag_a,lag_b,effect,se,t,p_value,n,r2,p_joint_windows,fdr_p_within,fdr_p_joint,ci_low,ci_high
hist,芸豆,price,temp_min,日最低气温,lag14-30,14,30,0.2359114463757635,0.33407060686322526,0.7061724124455824,0.480080924256732,1400,0.018348215669478862,,0.960161848513464,,-0.41886694307615796,0.8906898358276849
hist,芸豆,price,vpd,饱和水汽压差VPD,lag0-2,0,2,-0.011628276795289747,0.08374058816139307,-0.1388607012513286,0.8895602258941248,1400,0.012652526133787534,,0.9160070325100653,,-0.17575982959162015,0.15250327600104066
hist,芸豆,price,vpd,饱和水汽压差VPD,lag3-6,3,6,0.008606244489574456,0.0643480374063991,0.1337452521701712,0.8936040205363269,1400,0.012652526133787534,,0.9160070325100653,,-0.1175159088269678,0.1347283978061167
hist,芸豆,price,vpd,饱和水汽压差VPD,lag7-13,7,13,-0.05460491727868883,0.08870524883236783,-0.6155770712269728,0.5381736880488217,1400,0.012652526133787534,,0.9160070325100653,,-0.22846720499012976,0.11925737043275211
hist,芸豆,price,vpd,饱和水汽压差VPD,lag14-30,14,30,0.01773811372130634,0.16818996170551145,0.10546475866594526,0.9160070325100653,1400,0.012652526133787534,,0.9160070325100653,,-0.3119142112214961,0.3473904386641088
hist,芸豆,price,soil_z,土壤水分异常,lag0-2,0,2,-0.010598704273119215,0.07473316491843532,-0.14182062655431185,0.887221691113637,1400,0.024637410460113807,,0.9531368230416318,,-0.15707570751325242,0.135878298967014
hist,芸豆,price,soil_z,土壤水分异常,lag3-6,3,6,0.002459412049538082,0.04184944493354323,0.05876809246678468,0.9531368230416318,1400,0.024637410460113807,,0.9531368230416318,,-0.07956550002020665,0.0844843241192828
hist,芸豆,price,soil_z,土壤水分异常,lag7-13,7,13,-0.02901258362658119,0.07377963343546132,-0.3932329597701231,0.6941474281158233,1400,0.024637410460113807,,0.9531368230416318,,-0.17362066516008537,0.115595497906923
hist,芸豆,price,soil_z,土壤水分异常,lag14-30,14,30,0.19554293909739545,0.10814440250169444,1.808165143769985,0.07058080179425802,1400,0.024637410460113807,,0.2823232071770321,,-0.01642008980592563,0.40750596800071653
hist,芸豆,volume,precip_1d,当日降水,lag0-2,0,2,-0.06108914201153369,0.0724024028799726,-0.8437446767175141,0.3988120962400955,1400,0.02794244318728334,,0.4790470247231331,,-0.20299785165627998,0.08081956763321262
hist,芸豆,volume,precip_1d,当日降水,lag3-6,3,6,0.049522275045159346,0.06996290909606838,0.707836133245384,0.4790470247231331,1400,0.02794244318728334,,0.4790470247231331,,-0.08760502678313467,0.18664957687345338
hist,芸豆,volume,precip_1d,当日降水,lag7-13,7,13,-0.08043396374259565,0.10176145281797387,-0.790416818109625,0.4292843834813965,1400,0.02794244318728334,,0.4790470247231331,,-0.2798864112658244,0.11901848378063312
hist,芸豆,volume,precip_1d,当日降水,lag14-30,14,30,0.1687076489536639,0.18897565048720383,0.892748079018189,0.3719920967255378,1400,0.02794244318728334,,0.4790470247231331,,-0.20168462600125558,0.5390999239085834
hist,芸豆,volume,precip_3d,3日累计降水,lag0-2,0,2,-0.050769139439359345,0.06597498550102496,-0.7695210397366532,0.44158405927536715,1400,0.027836781418058565,,0.4629219513766457,,-0.18008011102136826,0.07854183214264956
hist,芸豆,volume,precip_3d,3日累计降水,lag3-6,3,6,0.041728458405091005,0.05459750613474688,0.7642923891451194,0.4446930198674758,1400,0.027836781418058565,,0.4629219513766457,,-0.06528265361901286,0.1487395704291949
hist,芸豆,volume,precip_3d,3日累计降水,lag7-13,7,13,-0.05444265442445613,0.07416811254775421,-0.7340439516969296,0.4629219513766457,1400,0.027836781418058565,,0.4629219513766457,,-0.19981215501805438,0.09092684616914211
hist,芸豆,volume,precip_3d,3日累计降水,lag14-30,14,30,0.12052633791931026,0.12774223349854533,0.9435120603295445,0.3454190494390297,1400,0.027836781418058565,,0.4629219513766457,,-0.12984843973783855,0.3709011155764591
hist,芸豆,volume,precip_7d,7日累计降水,lag0-2,0,2,-0.017341555511081082,0.07360998535772166,-0.23558699851394493,0.8137531632095993,1400,0.02738607060173348,,0.8452259050044457,,-0.16161712681221552,0.12693401579005337
hist,芸豆,volume,precip_7d,7日累计降水,lag3-6,3,6,-0.012200815631893371,0.06249989444853447,-0.1952133797912272,0.8452259050044457,1400,0.02738607060173348,,0.8452259050044457,,-0.1347006087510209,0.11029897748723418
hist,芸豆,volume,precip_7d,7日累计降水,lag7-13,7,13,-0.02231856107655378,0.06494465108173658,-0.3436551079235854,0.7311056757740004,1400,0.02738607060173348,,0.8452259050044457,,-0.14961007719675748,0.10497295504364992
hist,芸豆,volume,precip_7d,7日累计降水,lag14-30,14,30,0.10420717916716016,0.09953390793002372,1.046951549821815,0.295121924597636,1400,0.02738607060173348,,0.8452259050044457,,-0.09087928037568632,0.29929363871000664
hist,芸豆,volume,temp_max,日最高气温,lag0-2,0,2,0.3089763760708058,0.25388154181211403,1.217010003426972,0.22360040983215934,1400,0.0328970429774843,,0.7972599261316728,,-0.18863144588093766,0.8065841980225492
