crop,response,exposure,label,peak_lag,peak_effect,peak_ci_low,peak_ci_high,peak_p,peak_fdr_p,n_lag_fdr_sig,max_abs_effect
芹菜,volume,soil_moisture_28_100,土壤水分 28–100cm,12.0,0.3248790588557567,0.10431811020822218,0.5454400075032912,0.003889146340662511,0.020469191266644794,15.0,0.3248790588557567
芹菜,volume,soil_moisture_7_28,土壤水分 7–28cm,13.0,0.39412900338774104,0.1811681597342637,0.6070898470412184,0.0002862964566091209,0.008564318666485125,15.0,0.39412900338774104
茄子,price,soil_moisture_0_7,土壤水分 0–7cm,6.0,0.20646787136395556,0.04221879987982888,0.3707169428480822,0.013747241013577764,0.05675466473495407,3.0,0.20646787136395556
茄子,price,soil_moisture_28_100,土壤水分 28–100cm,11.0,0.2560974778077368,0.07132733781317466,0.4408676178022989,0.006595142049075731,0.03094028197347494,15.0,0.2560974778077368
茄子,price,soil_moisture_7_28,土壤水分 7–28cm,5.0,0.21990595279846414,0.007135548096333433,0.43267635750059485,0.042792327864884364,0.1289408868098663,0.0,0.21990595279846414
茄子,volume,soil_moisture_0_7,土壤水分 0–7cm,0.0,-0.14213606866014533,-0.2946436158635555,0.01037147854326484,0.06774374589980624,0.16983111785466745,0.0,0.14213606866014533
茄子,volume,soil_moisture_28_100,土壤水分 28–100cm,14.0,0.033687803986325204,-0.20390265591669401,0.2712782638893444,0.7810836085163346,0.8465018805955283,0.0,0.033687803986325204
茄子,volume,soil_moisture_7_28,土壤水分 7–28cm,0.0,-0.15376355488705418,-0.38333913528443475,0.07581202551032637,0.1892654055363059,0.3679025161612857,0.0,0.15376355488705418
西红柿,price,soil_moisture_0_7,土壤水分 0–7cm,6.0,0.04182582481996605,-0.1280481930640687,0.2116998427040008,0.6293905834388924,0.736607965013008,0.0,0.04182582481996605
西红柿,price,soil_moisture_28_100,土壤水分 28–100cm,14.0,0.13847539427296424,-0.06990093420733393,0.34685172275326237,0.19274288676442308,0.37145310083079397,0.0,0.13847539427296424
西红柿,price,soil_moisture_7_28,土壤水分 7–28cm,1.0,-0.021921629596160022,-0.24727795637635203,0.20343469718403195,0.8487921295015459,0.9006838731741695,0.0,0.021921629596160022
西红柿,volume,soil_moisture_0_7,土壤水分 0–7cm,10.0,0.1940425023399049,0.07549579033322848,0.31258921434658127,0.0013356174886939346,0.012141977169944859,15.0,0.1940425023399049
西红柿,volume,soil_moisture_28_100,土壤水分 28–100cm,4.0,0.24019765011736333,0.09746697431111226,0.38292832592361437,0.0009722650893971799,0.010417125957826928,15.0,0.24019765011736333
西红柿,volume,soil_moisture_7_28,土壤水分 7–28cm,10.0,0.2857989232695167,0.13524632647229573,0.4363515200667377,0.00019864602740024664,0.008564318666485125,15.0,0.2857989232695167
青椒,price,soil_moisture_0_7,土壤水分 0–7cm,14.0,0.1716883908338399,0.01598071748961591,0.3273960641780639,0.030682956940702,0.10829278920247765,0.0,0.1716883908338399
青椒,price,soil_moisture_28_100,土壤水分 28–100cm,14.0,0.11518164279806663,-0.08935028852393125,0.3197135741200645,0.26969332456216055,0.4543256312992636,0.0,0.11518164279806663
青椒,price,soil_moisture_7_28,土壤水分 7–28cm,14.0,0.14776830227020687,-0.046453677984398145,0.3419902825248119,0.1359062159643526,0.29688251060174115,0.0,0.14776830227020687
青椒,volume,soil_moisture_0_7,土壤水分 0–7cm,10.0,0.08420475859637411,-0.09198743923687108,0.2603969564296193,0.3489067778609537,0.5139379706626159,0.0,0.08420475859637411
青椒,volume,soil_moisture_28_100,土壤水分 28–100cm,14.0,0.22920340785663068,-0.009573761251751411,0.4679805769650128,0.05991564065711729,0.15860022526883988,0.0,0.22920340785663068
青椒,volume,soil_moisture_7_28,土壤水分 7–28cm,10.0,0.12979768674016587,-0.10556949223172193,0.36516486571205364,0.27975089391301267,0.4631597886791292,0.0,0.12979768674016587
韭菜,price,soil_moisture_0_7,土壤水分 0–7cm,8.0,0.11171207715840137,-0.04819567108944317,0.2716198254062459,0.17091725877921293,0.3472359659171369,0.0,0.11171207715840137
韭菜,price,soil_moisture_28_100,土壤水分 28–100cm,7.0,0.2944966414494786,0.14142217069717578,0.4475711122017815,0.00016272418656974188,0.008564318666485125,15.0,0.2944966414494786
韭菜,price,soil_moisture_7_28,土壤水分 7–28cm,11.0,0.137250378974567,-0.05625703448580849,0.33075779243494247,0.1644732732088977,0.3387321416201554,0.0,0.137250378974567
韭菜,volume,soil_moisture_0_7,土壤水分 0–7cm,4.0,0.15271818549886584,-0.004229560614336131,0.3096659316120678,0.05649724852210605,0.15223809482004624,0.0,0.15271818549886584
韭菜,volume,soil_moisture_28_100,土壤水分 28–100cm,12.0,0.28392449278646925,0.03662472796637231,0.5312242576065662,0.024431615091742548,0.09317141348545888,0.0,0.28392449278646925
韭菜,volume,soil_moisture_7_28,土壤水分 7–28cm,2.0,0.24363951936068837,0.00215866262402159,0.48512037609735514,0.04798277260498061,0.13495154795150796,0.0,0.24363951936068837
黄瓜,price,soil_moisture_0_7,土壤水分 0–7cm,4.0,0.1286628586468126,-0.042060021906795114,0.29938573920042033,0.13964186950395593,0.303569281530339,0.0,0.1286628586468126
黄瓜,price,soil_moisture_28_100,土壤水分 28–100cm,3.0,0.3454075815355152,0.1547718327652803,0.5360433303057501,0.0003833780970865656,0.008564318666485125,15.0,0.3454075815355152
黄瓜,price,soil_moisture_7_28,土壤水分 7–28cm,4.0,0.16091664616815185,-0.08329580074714799,0.4051290930834517,0.19653567449951814,0.3731690022142749,0.0,0.16091664616815185
黄瓜,volume,soil_moisture_0_7,土壤水分 0–7cm,10.0,-0.13068136936359548,-0.3366577340692989,0.07529499534210796,0.21367671382107212,0.39087203747757093,0.0,0.13068136936359548
黄瓜,volume,soil_moisture_28_100,土壤水分 28–100cm,1.0,-0.11218181925599494,-0.39114176469827777,0.16677812618628793,0.43057944244946633,0.5766688961376781,0.0,0.11218181925599494
黄瓜,volume,soil_moisture_7_28,土壤水分 7–28cm,9.0,-0.16847373788919834,-0.4714704648529193,0.13452298907452265,0.2757973376957067,0.45966222949284447,0.0,0.16847373788919834
