target_kind,target,feature_set,model,split,stratum,stratum_value,n,mae,rmse,r2,bias,nrmse_sd,mape
hist,price,F_now,elasticnet,test,overall,all,1750,0.12873175943410106,0.1969611546933035,0.9421784679833171,0.0018012971505149333,0.24039236914104584,
hist,price,F_now,gam,test,overall,all,1750,0.15321647829428203,0.22542870242235086,0.9242562411610044,0.004679381274003979,0.27513719612420207,
hist,price,F_now,lightgbm,test,overall,all,1750,0.13923494970780592,0.20771281440954983,0.9356934794747336,-0.005431004509155605,0.2535148396881515,
hist,volume,F_wx,baseline_mean,test,overall,all,1750,0.9428727273094138,1.0960412120494296,-1.0641082202463568,0.21731498778042707,1.4362899184478,
hist,volume,F_wx,baseline_seasonal_naive,test,overall,all,1750,0.9680823744284746,1.1869822074301857,-1.4208457205065272,0.16237553784644146,1.555462111430172,
hist,volume,F_wx,baseline_persistence,test,overall,all,1750,0.23076717952997075,0.4282567720719965,0.6848718692749114,0.0006091403009943799,0.5612023320581726,
hist,volume,F_wx,elasticnet,test,overall,all,1750,0.9228471716568248,1.0999897784823136,-1.0790072026996427,-0.10032566179595304,1.4414642550489467,
hist,volume,F_wx,gam,test,overall,all,1750,0.9999463517392407,1.2184901576211589,-1.5510721750829641,-0.09931049182981172,1.596751207782335,
hist,volume,F_wx,lightgbm,test,overall,all,1750,0.7229433170379245,0.9209693617828723,-0.45736743200771945,-0.24298164886111726,1.2068697736781715,
hist,volume,F_lag,baseline_mean,test,overall,all,1750,0.9428727273094138,1.0960412120494296,-1.0641082202463568,0.21731498778042707,1.4362899184478,
hist,volume,F_lag,baseline_seasonal_naive,test,overall,all,1750,0.9680823744284746,1.1869822074301857,-1.4208457205065272,0.16237553784644146,1.555462111430172,
hist,volume,F_lag,baseline_persistence,test,overall,all,1750,0.23076717952997075,0.4282567720719965,0.6848718692749114,0.0006091403009943799,0.5612023320581726,
hist,volume,F_lag,elasticnet,test,overall,all,1750,0.2880048947406076,0.4225184102434855,0.6932603137949314,0.010326298379974848,0.5536825863113088,
hist,volume,F_lag,gam,test,overall,all,1750,0.3107721541169899,0.43777522340581865,0.6707080973148054,-0.0061880187932800024,0.5736756364738355,
hist,volume,F_lag,lightgbm,test,overall,all,1750,0.3382098197038067,0.43760387584530913,0.6709658200866823,-0.020633272181235125,0.5734510967658347,
hist,volume,F_now,baseline_mean,test,overall,all,1750,0.9428727273094138,1.0960412120494296,-1.0641082202463568,0.21731498778042707,1.4362899184478,
hist,volume,F_now,baseline_seasonal_naive,test,overall,all,1750,0.9680823744284746,1.1869822074301857,-1.4208457205065272,0.16237553784644146,1.555462111430172,
hist,volume,F_now,baseline_persistence,test,overall,all,1750,0.23076717952997075,0.4282567720719965,0.6848718692749114,0.0006091403009943799,0.5612023320581726,
hist,volume,F_now,elasticnet,test,overall,all,1750,0.2936470228082849,0.42561829433217235,0.6887428986010187,0.01894803189751663,0.5577447805207879,
hist,volume,F_now,gam,test,overall,all,1750,0.35818098227872536,0.5244692534107894,0.5273727465432675,-0.04820886688238475,0.6872824606669892,
hist,volume,F_now,lightgbm,test,overall,all,1750,0.3390588362792682,0.4390431791437324,0.6687978374797052,-0.003015655212225119,0.5753372090710906,
strict,price,F_wx,baseline_mean,test,overall,all,1750,0.16571222586771325,0.21117591437562738,0.09123487479630854,0.03492230311390039,0.9530193234381097,
strict,price,F_wx,baseline_seasonal_naive,test,overall,all,1750,0.2331904365542284,0.3026475569052487,-0.8665396955573108,0.03164716346237594,1.3658232321371475,
strict,price,F_wx,baseline_persistence,test,overall,all,1750,0.04021739959202181,0.06914568036896217,0.9025699345889421,0.0023848871567082757,0.3120486998658477,
strict,price,F_wx,elasticnet,test,overall,all,1750,0.2174016249920801,0.27281052404120626,-0.516649146965616,0.07204815192659617,1.2311711864359915,
strict,price,F_wx,gam,test,overall,all,1750,0.23383977275100964,0.29569382074863904,-0.7817525272754948,0.05474460891031882,1.3344415996866237,
strict,price,F_wx,lightgbm,test,overall,all,1750,0.24025589078223675,0.29564226674084776,-0.7811312868594162,0.08906797720699931,1.334208940740782,
strict,price,F_lag,baseline_mean,test,overall,all,1750,0.16571222586771325,0.21117591437562738,0.09123487479630854,0.03492230311390039,0.9530193234381097,
