scope,response,crop,hazard,hazard_label,window_days,beta_hazard,p_hazard,beta_interaction,p_interaction,n,r2,slope_in_window,slope_out_window,fdr_p_interaction,sig_fdr05
all,volume,芹菜,precip_3d,3日累计降水,488,-0.08339516659267238,0.07205279706556032,-0.004992633434153571,0.9816133238211739,1410,0.03162631325443843,-0.055443499140468776,-0.08092860921172741,0.9950342515612569,False
all,volume,芹菜,soil_z,土壤水分异常,488,0.1624834759064873,0.0923254950237459,0.14234273276480763,0.3877415623421364,1410,0.052174452095153034,0.3186862305993285,0.16574377435208518,0.9735980763328868,False
all,volume,芹菜,temp_max,日最高气温,488,-0.04247815266063135,0.7506497648356026,0.05971419801125081,0.8830024430128978,1410,0.028974340608763693,-0.0020301891288418104,-0.015809485826126332,0.9950342515612569,False
all,volume,芹菜,vpd,饱和水汽压差VPD,488,-0.06449925988689356,0.650889935030331,0.0025506965888368194,0.9917792887754894,1410,0.029912616686111337,-0.07126585091912715,-0.03656430572210741,0.9950342515612569,False
all,volume,芹菜,wind,风速,488,0.22404508496807118,0.0001966163898546064,-0.1927579599997521,0.16718294071327366,1410,0.041955522910482435,0.028592898311557147,0.21669392316238287,0.9362359353377184,False
all,volume,茄子,precip_3d,3日累计降水,285,-0.03620943996409264,0.5356739751753079,-0.16207713704366913,0.07302447989725637,1410,0.0060812541267436515,-0.190792872948475,-0.03427872212366755,0.8215253988441341,False
all,volume,茄子,soil_z,土壤水分异常,285,-0.17008189501636642,0.227695647716876,0.034512864806325504,0.823377313054478,1410,0.015052425843905426,-0.1314299333876958,-0.16770941285884503,0.9950342515612569,False
all,volume,茄子,temp_max,日最高气温,285,0.10935495321534859,0.40655476172429117,0.19200729056660706,0.49382159339243936,1410,0.009040541092854348,0.30921389787904063,0.11419949178118029,0.9950342515612569,False
all,volume,茄子,vpd,饱和水汽压差VPD,285,0.16638755199107846,0.2838594447195375,0.03233096954237485,0.8493535715102979,1410,0.013709275542082011,0.19452612604453964,0.1711872804896197,0.9950342515612569,False
all,volume,茄子,wind,风速,285,-0.15784266704312588,0.04490151583711877,0.14356679948677398,0.18278396344706282,1410,0.012539911293570238,-0.022840277285735518,-0.15836941697350182,0.9362359353377184,False
all,volume,西红柿,precip_3d,3日累计降水,760,-0.22625554269824033,0.4535671588087683,0.19309665554626815,0.5262819852804084,1410,0.016429041080550877,-0.02630740293843635,-0.23684690580614665,0.9950342515612569,False
all,volume,西红柿,soil_z,土壤水分异常,760,0.45300503080920473,0.014361859914425722,-0.3582666896128333,0.06398754916549058,1410,0.05894650321521355,0.09690025458817673,0.46228027999597515,0.8215253988441341,False
all,volume,西红柿,temp_max,日最高气温,760,0.24626814593014362,0.23158581746385576,-0.5021236485235421,0.09564955092000758,1410,0.028539360973348638,-0.19798697911267935,0.2728709756066655,0.8835846973989823,False
all,volume,西红柿,vpd,饱和水汽压差VPD,760,0.3553217946853109,0.241286864688958,-0.4695685348576081,0.13917698367488157,1410,0.025275562481185676,-0.10609589863823927,0.3842429699551977,0.9362359353377184,False
all,volume,西红柿,wind,风速,760,0.19283033449617187,0.012760937694683751,0.059388909248129264,0.5256807044024432,1410,0.057730173299085696,0.24283130463979238,0.1965372549297574,0.9950342515612569,False
all,volume,青椒,precip_3d,3日累计降水,1068,-0.09252784012339847,0.1565107737871392,0.016173646785395377,0.8804509495748669,1410,0.02261876306280164,-0.06995329780327998,-0.07908346769854213,0.9950342515612569,False
all,volume,青椒,soil_z,土壤水分异常,1068,0.16965389727744162,0.1873488374854657,-0.1702334455546868,0.34676471277857923,1410,0.022716012789833817,0.0064026673950086585,0.18050534499701368,0.9735980763328868,False
all,volume,青椒,temp_max,日最高气温,1068,-0.2384420246517963,0.518351424324673,0.22533068307645912,0.5559665591542529,1410,0.02122141774975228,0.002354136956539933,-0.15709834767012643,0.9950342515612569,False
