crop,response,hazard_key,hazard_label,hazard_unit,n,wald_F,wald_p,wald_df1,gam_edof,gam_r2,pd_range_z,linear_effect,note,fdr_p,evidence_level
西红柿,price,soil_z,土壤水分异常,稳健z,1410,1.0821736004857558,0.3683380020956021,5,6.535507449298346,0.010565183467834416,0.9106869747911369,0.02460382970653536,；土壤水分为观测期自建基线（B 级）,0.7119649363627567,B*
西红柿,volume,precip_3d,3日累计降水,mm,1410,1.165264504470321,0.32408226899051884,5,5.257511145797296,0.014966041151468268,0.8294411840982728,-0.00293973430262631,,0.7119649363627567,B
西红柿,volume,temp_max,日最高气温,℃,1410,2.5078689435454784,0.028577834002958512,5,6.66118900730245,0.033854515979001465,0.7822556493924608,0.0007172101216633563,,0.28577834002958513,B
西红柿,volume,vpd,饱和水汽压差VPD,kPa,1410,2.86315542409383,0.014048708596481814,5,6.3519536884472405,0.03600071632692581,1.4560341427150996,-0.04334537072695788,,0.28577834002958513,B
西红柿,volume,soil_z,土壤水分异常,稳健z,1410,1.012194115383084,0.40893229598305936,5,6.535507449298346,0.04704266163011339,0.7545376881568155,0.1688193189492791,；土壤水分为观测期自建基线（B 级）,0.7119649363627567,B*
青椒,price,precip_3d,3日累计降水,mm,1410,1.67103490120215,0.13850190450998756,5,5.257511145797296,0.011961124131697143,1.5198618462374864,0.0034060341718893765,,0.531600170093694,B
青椒,price,temp_max,日最高气温,℃,1410,0.6494086672647158,0.6620025073672957,5,6.66118900730245,0.009707303116819,0.34179335429758373,0.003964187604833044,,0.7866602466139796,B
青椒,price,vpd,饱和水汽压差VPD,kPa,1410,1.712713514252917,0.12857157081129283,5,6.3519536884472405,0.013751860290414086,0.4022092955765877,-0.015429314007857804,,0.531600170093694,B
青椒,price,soil_z,土壤水分异常,稳健z,1410,0.7674403398246994,0.573252988149735,5,6.535507449298346,0.0256878825309812,1.3105709223711264,0.1602964604681641,；土壤水分为观测期自建基线（B 级）,0.727940302412362,B*
青椒,volume,precip_3d,3日累计降水,mm,1410,0.780146085503869,0.5639775330952851,5,5.257511145797296,0.02184747703923884,0.5854364594604982,-0.004511013796573104,,0.727940302412362,B
青椒,volume,temp_max,日最高气温,℃,1410,0.874340927489702,0.4975218440845368,5,6.66118900730245,0.031355641655475996,1.5048901060062747,0.00019047021967264974,,0.7236681368502353,B
青椒,volume,vpd,饱和水汽压差VPD,kPa,1410,1.5319515420021566,0.17678862928902186,5,6.3519536884472405,0.045891215094958526,0.901242505597959,-0.050780660870459154,,0.5657236137248699,B
青椒,volume,soil_z,土壤水分异常,稳健z,1410,1.6927108264288226,0.13325442639108093,5,6.535507449298346,0.03966930691967918,1.032710030303355,0.042036521791423746,；土壤水分为观测期自建基线（B 级）,0.531600170093694,B*
韭菜,price,precip_3d,3日累计降水,mm,1410,2.522928436140944,0.027741210911155074,5,5.257511145797296,0.017391882140586734,1.1442009308695409,0.004310790808553056,,0.28577834002958513,B
韭菜,price,temp_max,日最高气温,℃,1410,0.6407255434692871,0.6686612096218827,5,6.66118900730245,0.011581849165511193,0.3870908406491886,-0.001820400594583983,,0.7866602466139796,B
韭菜,price,vpd,饱和水汽压差VPD,kPa,1410,0.8137233852189041,0.5398007223076869,5,6.3519536884472405,0.008122974372288927,0.27174007370582653,-0.07076737817454819,,0.727940302412362,B
韭菜,price,soil_z,土壤水分异常,稳健z,1410,2.395341612969406,0.03563904482247751,5,6.535507449298346,0.03755290654959609,1.3074792416617127,0.08062887305485607,；土壤水分为观测期自建基线（B 级）,0.31679150953313345,B*
韭菜,volume,precip_3d,3日累计降水,mm,1410,1.0458831824466082,0.3890114578845573,5,5.257511145797296,0.035273760699373935,1.6731841490793664,-0.007840418114428966,,0.7119649363627567,B
韭菜,volume,temp_max,日最高气温,℃,1410,1.0887313652348865,0.36468952464271975,5,6.66118900730245,0.05513189214699421,2.0282226555694387,-0.008247113726953116,,0.7119649363627567,B
韭菜,volume,vpd,饱和水汽压差VPD,kPa,1410,1.9470982329182853,0.08381247194519112,5,6.3519536884472405,0.046874416507408645,0.7721687698952427,-0.09283318487750095,,0.47892841111537787,B
韭菜,volume,soil_z,土壤水分异常,稳健z,1410,1.5651710832243142,0.16688004204859624,5,6.535507449298346,0.04295029517373361,1.4176421578743255,0.11013686407494436,；土壤水分为观测期自建基线（B 级）,0.5657236137248699,B*
黄瓜,price,precip_3d,3日累计降水,mm,1410,2.83085412908519,0.014996620964044905,5,5.257511145797296,0.023921384204460883,1.9196416889507137,0.00554526676114454,,0.28577834002958513,B
黄瓜,price,temp_max,日最高气温,℃,1410,0.8491028426351326,0.5148984683635631,5,6.66118900730245,0.014437425113812075,0.9043858694515929,-0.00591346934298281,,0.727940302412362,B
黄瓜,price,vpd,饱和水汽压差VPD,kPa,1410,0.8799710114777441,0.4936914886265703,5,6.3519536884472405,0.008203024526895475,0.3237757061296552,-0.08540118664258675,,0.7236681368502353,B
黄瓜,price,soil_z,土壤水分异常,稳健z,1410,2.5785082799260715,0.024852157567368555,5,6.535507449298346,0.04096731882756166,1.2387589938354058,0.0877413022277107,；土壤水分为观测期自建基线（B 级）,0.28577834002958513,B*
黄瓜,volume,precip_3d,3日累计降水,mm,1410,0.30370247208365353,0.910830331466572,5,5.257511145797296,0.013081711399651197,1.3407778964058648,-0.003847260705093912,,0.9194674204024096,B
黄瓜,volume,temp_max,日最高气温,℃,1410,0.5551410891015027,0.7344835692354732,5,6.66118900730245,0.024946579675382496,0.9421635850032226,0.006362543340801785,,0.8394097934119693,B
黄瓜,volume,vpd,饱和水汽压差VPD,kPa,1410,1.9965190388461047,0.07643823665433072,5,6.3519536884472405,0.022262570255445313,1.8344247543785719,0.12966873249284516,,0.4703891486420352,B
黄瓜,volume,soil_z,土壤水分异常,稳健z,1410,0.8853003958586271,0.490081496416375,5,6.535507449298346,0.01988020239599364,0.8894165096152395,-0.10557042353436599,；土壤水分为观测期自建基线（B 级）,0.7236681368502353,B*
