crop,variable,month,seasonal_index,n
茄子,volume,1,0.9593985899038264,123
茄子,volume,2,0.9782325816922393,105
茄子,volume,3,1.0059930137866737,132
茄子,volume,4,1.013966422418478,123
茄子,volume,5,1.0004268456678749,119
茄子,volume,6,1.0006521863481694,122
茄子,volume,7,0.9981715824603183,130
茄子,volume,8,1.0042275030891032,130
茄子,volume,9,1.0342148634144808,115
茄子,volume,10,1.0156107458420132,97
茄子,volume,11,0.9941126544249397,105
茄子,volume,12,0.9953906581880058,109
西红柿,price,1,1.2675132281805106,123
西红柿,price,2,1.3153996793155307,105
西红柿,price,3,1.2090687340233495,132
西红柿,price,4,1.058376444839183,123
西红柿,price,5,0.8803827281152731,119
西红柿,price,6,0.7294042191579836,122
西红柿,price,7,0.672112482538903,130
西红柿,price,8,0.7715684269643005,130
西红柿,price,9,0.8568061562537191,115
西红柿,price,10,1.0402290322391863,97
西红柿,price,11,1.0997325488313163,105
西红柿,price,12,1.1914065289659626,109
西红柿,volume,1,1.0070437459954704,123
西红柿,volume,2,0.9371752643138979,105
西红柿,volume,3,0.9809915654809902,132
西红柿,volume,4,1.0197688724344927,123
西红柿,volume,5,1.008172202244555,119
西红柿,volume,6,1.0150895942997116,122
西红柿,volume,7,1.0009780228110907,130
西红柿,volume,8,0.9938715291228369,130
西红柿,volume,9,0.9970966464524326,115
西红柿,volume,10,1.0211586000139115,97
西红柿,volume,11,0.9935293956867108,105
西红柿,volume,12,1.0240808176431508,109
青椒,price,1,1.6171652586471863,123
青椒,price,2,1.6967839244879097,105
青椒,price,3,1.3297312270272426,132
青椒,price,4,1.0282102310148777,123
青椒,price,5,0.7334769260207369,119
青椒,price,6,0.6180747814726102,122
青椒,price,7,0.6665585035312084,130
青椒,price,8,0.7089341252821036,130
青椒,price,9,0.8048637774237973,115
青椒,price,10,0.7994385649171544,97
青椒,price,11,0.9492385539823872,105
青椒,price,12,1.0977443860736866,109
青椒,volume,1,1.0047476465904184,123
青椒,volume,2,0.9529495952734556,105
青椒,volume,3,0.9842104179204891,132
青椒,volume,4,0.9832791730389174,123
青椒,volume,5,0.9855507536415025,119
青椒,volume,6,0.988895110770352,122
青椒,volume,7,0.9932365316361088,130
青椒,volume,8,1.0080340632509182,130
青椒,volume,9,1.0305710386430869,115
青椒,volume,10,1.0204200368546255,97
青椒,volume,11,1.0320465750173504,105
青椒,volume,12,1.0233485742024178,109
韭菜,price,1,1.376515635967231,123
韭菜,price,2,1.2756638047857471,105
韭菜,price,3,1.0062173734529887,132
韭菜,price,4,0.7950899058524281,123
韭菜,price,5,0.5903551893138997,119
韭菜,price,6,0.6060352561421323,122
韭菜,price,7,0.7629188513404597,130
韭菜,price,8,0.9392550964783941,130
韭菜,price,9,0.9008067191589368,115
韭菜,price,10,1.0733924044829604,97
韭菜,price,11,1.3567555091398134,105
韭菜,price,12,1.4723374235406743,109
韭菜,volume,1,1.0406856431970248,123
韭菜,volume,2,1.0155937195451268,105
韭菜,volume,3,1.0282077432017072,132
韭菜,volume,4,1.025941572691282,123
韭菜,volume,5,0.9866709108642802,119
韭菜,volume,6,0.9839435929593916,122
韭菜,volume,7,0.9255393963183478,130
韭菜,volume,8,0.9462804212055052,130
韭菜,volume,9,0.9696371397883865,115
韭菜,volume,10,1.031640625585023,97
韭菜,volume,11,1.022900945696874,105
韭菜,volume,12,1.042849043332983,109
黄瓜,price,1,1.3703899453466937,123
黄瓜,price,2,1.3995407020084085,105
黄瓜,price,3,1.1213668284827252,132
黄瓜,price,4,0.7827302739560728,123
黄瓜,price,5,0.6008915784542662,119
黄瓜,price,6,0.5510084090997056,122
黄瓜,price,7,0.7610363140220734,130
黄瓜,price,8,0.9659583082221018,130
黄瓜,price,9,0.8344154243574765,115
黄瓜,price,10,1.078921425529537,97
黄瓜,price,11,1.305680643962423,105
黄瓜,price,12,1.3692291158134269,109
黄瓜,volume,1,0.9901285556467723,123
黄瓜,volume,2,0.9486336732745989,105
黄瓜,volume,3,0.9963849814367178,132
黄瓜,volume,4,1.0041031046278335,123
黄瓜,volume,5,1.0086376269194344,119
黄瓜,volume,6,1.0235406921775898,122
黄瓜,volume,7,0.9869225937760734,130
黄瓜,volume,8,1.0026208007636237,130
黄瓜,volume,9,1.0230840495902025,115
黄瓜,volume,10,1.0383494264249662,97
黄瓜,volume,11,0.9863037034418909,105
黄瓜,volume,12,0.9917726630826698,109
