crop,response,metric,hazard_key,hazard_label,peak_lag,peak_effect,peak_se,peak_p,peak_fdr_p,peak_ci_low,peak_ci_high,sum_effect_0_14,n_lag_sig_within,n_lag_focus,corr_max_abs
土豆,volume,z,precip_1d,当日降水,14,0.028745828196772686,0.030583466304280157,0.34726167470353564,0.9993687142937572,-0.031197765759616417,0.08868942215316179,0.1832223781375076,0,15,0.028948944533593535
土豆,volume,z,precip_3d,3日累计降水,14,0.0544744758339433,0.04068800512114898,0.1806247900697613,0.9993687142937572,-0.025274014203508693,0.1342229658713953,0.33585322154069364,0,15,0.05728932925484921
土豆,volume,z,precip_7d,7日累计降水,13,0.07106548487093878,0.05774658312856486,0.21845604876247993,0.9993687142937572,-0.042117818061048334,0.1842487878029259,0.5580620893164248,0,15,0.07058840611669195
土豆,volume,z,soil_z,土壤水分异常,0,-0.059264862918666096,0.08108994847572801,0.4648687145397018,0.9993687142937572,-0.21820116193109299,0.0996714360937608,-0.6408542883433598,0,15,0.05610356250846872
土豆,volume,z,temp_max,日最高气温,14,-0.019991392697144922,0.08322417400970926,0.8101664011934904,0.9993687142937572,-0.18311077375617507,0.14312798836188523,-0.11186808304165569,0,15,0.018463277064459657
土豆,volume,z,temp_min,日最低气温,9,0.033990747437069105,0.08478912895993024,0.6885042949939465,0.9993687142937572,-0.13219594532439416,0.20017744019853234,0.4151518730319411,0,15,0.03395110792882726
土豆,volume,z,vpd,饱和水汽压差VPD,14,-0.02942073142023835,0.08645840147528261,0.733639871758526,0.9993687142937572,-0.19887919831179227,0.14003773547131557,-0.1401310129835369,0,15,0.027532794081378802
尖椒,price,pct,precip_1d,当日降水,12,2.769777630258794,1.6115248648968374,0.08566337729314319,0.9818537468320914,-0.3888111049390073,5.928366365456595,26.250252952953023,0,15,0.06890097551057395
尖椒,price,pct,precip_3d,3日累计降水,11,3.484627900123316,2.196642293865671,0.1126615463183003,0.9993687142937572,-0.8207909958533994,7.7900467961000315,38.7787353343996,0,15,0.0890783431135115
尖椒,price,pct,precip_7d,7日累计降水,10,3.5612350796761163,2.6230382111191917,0.1745666300610912,0.9993687142937572,-1.579919814117499,8.702389973469732,50.023964935292334,0,15,0.09710963017107335
尖椒,price,pct,soil_z,土壤水分异常,7,4.552268340097936,2.776734837321558,0.10112329236819735,0.9993687142937572,-0.8901319410523172,9.99466862124819,63.23274422754652,0,15,0.12608853270005063
尖椒,price,pct,temp_max,日最高气温,14,1.8849037678165432,3.0557391498177826,0.5373399134217836,0.9993687142937572,-4.104344965826311,7.874152501459397,17.183082889571264,0,15,0.05074292184389923
尖椒,price,pct,temp_min,日最低气温,14,2.2523745861552253,3.1581437395036844,0.4757246567288299,0.9993687142937572,-3.9375871432719958,8.442336315582446,23.502467242603167,0,15,0.06053921327807966
尖椒,price,pct,vpd,饱和水汽压差VPD,1,-2.439465393236025,2.579863072231724,0.3443631519030321,0.9993687142937572,-7.495997014810204,2.6170662283381545,-26.695239817300855,0,15,0.06831890556486245
尖椒,price,z,precip_1d,当日降水,12,0.07855761657824238,0.050873645421889546,0.1225468710796628,0.9993687142937572,-0.021154728448661134,0.1782699616051459,0.7490226834843207,0,15,0.050557354872708286
尖椒,price,z,precip_3d,3日累计降水,12,0.09815812258591582,0.06827674984670061,0.15053316544506576,0.9993687142937572,-0.035664307113617386,0.231980552285449,1.1009656641733716,0,15,0.06450718044459405
尖椒,price,z,precip_7d,7日累计降水,14,0.10713736481685701,0.08489876577655914,0.20696946024588558,0.9993687142937572,-0.059264216105198886,0.2735389457389129,1.4257439313481637,0,15,0.07605955517402006
尖椒,price,z,soil_z,土壤水分异常,7,0.11269116772398347,0.10168798612455458,0.26777315157836623,0.9993687142937572,-0.08661728508014352,0.3119996205281105,1.502719452123573,0,15,0.08134151477796156
尖椒,price,z,temp_max,日最高气温,14,0.08332386574354371,0.1320140425548347,0.527926589562494,0.9993687142937572,-0.1754236576639323,0.34207138915101976,1.047882564568043,0,15,0.058351898622044804
尖椒,price,z,temp_min,日最低气温,14,0.09182719004804013,0.13175787240484677,0.48584101600453367,0.9993687142937572,-0.1664182398654595,0.35007261996153977,1.1512123583948395,0,15,0.06424183477545845
尖椒,price,z,vpd,饱和水汽压差VPD,1,-0.02844300661249497,0.1093212307630368,0.7947262799232901,0.9993687142937572,-0.2427126189080471,0.18582660568305717,-0.19338621123185104,0,15,0.022141392975288193
