target,feature_set,feature,is_weather,mean_abs_shap,share_of_total,causal_claim_allowed,rank
price,F_lag,precip_3d_lag7d,True,0.0024081207867632974,0.002764660031731283,False,36
price,F_lag,m5,False,0.0020826151363349606,0.002390960976937827,False,37
price,F_lag,m2,False,0.002058921351533184,0.0023637591604002283,False,38
price,F_lag,crop_茄子,False,0.001871260322255991,0.002148313593878815,False,39
price,F_lag,precipitation_lag7d,True,0.0016663941633288694,0.0019131155570721197,False,40
price,F_lag,crop_韭菜,False,0.0013887920003478338,0.0015944124384684344,False,41
price,F_lag,precipitation_lag14d,True,0.0012323799193794947,0.0014148424471665036,False,42
price,F_lag,m4,False,0.0012270509770608805,0.0014087245174012463,False,43
price,F_lag,is_public_holiday,False,0.0008967765634092203,0.0010295506503987099,False,44
price,F_lag,m12,False,0.0008165679278691514,0.0009374665613878018,False,45
price,F_lag,crop_尖椒,False,0.0006875896899386924,0.0007893921868259092,False,46
price,F_lag,crop_黄瓜,False,0.0006503033446814378,0.0007465853355131816,False,47
price,F_lag,crop_西红柿,False,0.0005039451918413131,0.0005785578272174013,False,48
price,F_lag,m9,False,0.00017558417951527982,0.0002015806540844994,False,49
price,F_lag,crop_青椒,False,0.00010273374510978182,0.00011794419971634116,False,50
price,F_lag,m7,False,2.0949024959205464e-05,2.405067566660612e-05,False,51
price,F_lag,m8,False,0.0,0.0,False,52
price,F_lag,m6,False,0.0,0.0,False,53
price,F_wx,year_t,False,0.31851469280098904,0.18998496625698982,False,1
price,F_wx,soil_moisture_0_7_lag14d,True,0.08734309512857492,0.05209767510207564,False,2
price,F_wx,temp_max_lag3d,True,0.0793135791614584,0.0473082969209387,False,3
price,F_wx,crop_黄瓜,False,0.06590651014703955,0.039311361106423616,False,4
price,F_wx,m3,False,0.06442814248792803,0.03842955679353053,False,5
price,F_wx,crop_韭菜,False,0.05833255560847795,0.034793712376354945,False,6
price,F_wx,crop_芹菜,False,0.05528450692443172,0.03297563792178025,False,7
price,F_wx,soil_moisture_0_7_lag7d,True,0.05459017924954265,0.032561491187370374,False,8
price,F_wx,precip_7d_lag3d,True,0.05067123812273986,0.030223954130001555,False,9
price,F_wx,m9,False,0.048502008004748534,0.028930069985612254,False,10
price,F_wx,m11,False,0.04837128348489152,0.028852096522989246,False,11
price,F_wx,temp_max_lag1d,True,0.04390117858120627,0.026185805929536256,False,12
price,F_wx,m4,False,0.043711396244733865,0.02607260615694865,False,13
price,F_wx,precip_7d_lag14d,True,0.04236809216603039,0.025271363433038225,False,14
price,F_wx,precip_7d_lag7d,True,0.039513197138651056,0.023568499647778563,False,15
price,F_wx,m12,False,0.0380252323582531,0.0226809709246621,False,16
price,F_wx,soil_moisture_0_7_lag1d,True,0.03442485165044396,0.020533446107925256,False,17
price,F_wx,m2,False,0.0337951258066643,0.020157832530637677,False,18
price,F_wx,temp_max_lag7d,True,0.03169863863309234,0.018907337486196687,False,19
price,F_wx,vpd_lag7d,True,0.03165527717615902,0.018881473608898323,False,20
price,F_wx,precip_7d_lag1d,True,0.027594759297141017,0.01645949004058256,False,21
price,F_wx,crop_西红柿,False,0.026567427943376194,0.01584671607130854,False,22
price,F_wx,soil_moisture_0_7_lag3d,True,0.026128495740583207,0.015584905481023351,False,23
price,F_wx,m8,False,0.02597072510831552,0.015490799780642212,False,24
price,F_wx,temp_anomaly_lag1d,True,0.024825774802589552,0.014807869447707182,False,25
price,F_wx,vpd_lag1d,True,0.024615830643683386,0.014682643720771686,False,26
price,F_wx,crop_茄子,False,0.022035977365782614,0.013143834526006525,False,27
price,F_wx,temp_max_lag14d,True,0.022026937828687948,0.013138442698914322,False,28
price,F_wx,crop_青椒,False,0.021321030861385128,0.012717389245510857,False,29
price,F_wx,crop_芸豆,False,0.019078376781397455,0.011379709793534143,False,30
