outcome,exposure,crop,wald_F,df1,p_raw,n,ar_control,q_fdr
price,soil_moisture_0_7,黄瓜,1.6492011669951103,5,0.14440211457507546,916,True,0.46208676664024145
volume,precip_7d,土豆,0.13943329130471735,5,0.9830755038496307,916,True,0.9955194975692462
volume,precip_7d,尖椒,0.9070698039668674,5,0.4756770921881651,916,True,0.6918939522736948
volume,precip_7d,甘蓝,0.7840995889632082,5,0.5612069177705108,916,True,0.750439077705576
volume,precip_7d,芸豆,0.9606368392893774,5,0.44097283115928054,916,True,0.6664797070652554
volume,precip_7d,芹菜,0.7862546972631064,5,0.559645273132296,916,True,0.750439077705576
volume,precip_7d,茄子,1.5501380341922608,5,0.17172664955951644,916,True,0.5088197023985672
volume,precip_7d,西红柿,0.7113819657414973,5,0.6149588738836005,916,True,0.7675213348474619
volume,precip_7d,青椒,1.7485044369334917,5,0.12098511785834942,916,True,0.4149757939356861
volume,precip_7d,韭菜,1.9507713068184296,5,0.08363762362017069,916,True,0.33455049448068275
volume,precip_7d,黄瓜,2.0228859591460475,5,0.07313621592458452,916,True,0.3079419617877243
volume,temp_max,土豆,1.162063924681866,5,0.32603032094902606,916,True,0.5927824017255019
volume,temp_max,尖椒,1.886217807701121,5,0.0942080700672544,916,True,0.358887885970493
volume,temp_max,甘蓝,1.2433344119827348,5,0.28671512611746375,916,True,0.5892759028133502
volume,temp_max,芸豆,2.671553404285622,5,0.0208725848683029,916,True,0.13053776615389226
volume,temp_max,芹菜,4.759813442184236,5,0.0002671266535368977,916,True,0.005920273625790173
volume,temp_max,茄子,2.4086857360399594,5,0.0350087344046256,916,True,0.1867132501580032
volume,temp_max,西红柿,2.3297128029304615,5,0.04080280059291519,916,True,0.19201317926077735
volume,temp_max,青椒,2.6634248660832456,5,0.021212387000007493,916,True,0.13053776615389226
volume,temp_max,韭菜,3.0034924959105065,5,0.010713764757901645,916,True,0.08571011806321316
volume,temp_max,黄瓜,2.357400225808617,5,0.0386745591105353,916,True,0.19201317926077735
volume,vpd,土豆,1.2682234056362585,5,0.27546505878435745,916,True,0.5892759028133502
volume,vpd,尖椒,2.9448742597919066,5,0.012064820607278093,916,True,0.0877441498711134
volume,vpd,甘蓝,0.7039844628540949,5,0.6205276222088786,916,True,0.7675213348474619
volume,vpd,芸豆,4.71212470981172,5,0.00029601368128950867,916,True,0.005920273625790173
volume,vpd,芹菜,3.362219257217575,5,0.005138295128531367,916,True,0.05138295128531367
volume,vpd,茄子,1.7718192086731868,5,0.11601181336748079,916,True,0.4149757939356861
volume,vpd,西红柿,3.6411472235359073,5,0.002878050272684063,916,True,0.03289200311638929
volume,vpd,青椒,5.944744149597755,5,2.0290918756105114e-05,916,True,0.0016232735004884091
volume,vpd,韭菜,5.548535576487692,5,4.8275118604168554e-05,916,True,0.0019310047441667422
volume,vpd,黄瓜,1.035757430767292,5,0.39518254015007614,916,True,0.6400965878330552
volume,soil_moisture_0_7,土豆,1.1070838331361532,5,0.3549166798386726,916,True,0.6041134975977406
volume,soil_moisture_0_7,尖椒,0.5732593298132266,5,0.7205576181886262,916,True,0.8477148449277955
volume,soil_moisture_0_7,甘蓝,0.740046701073023,5,0.5935414814473967,916,True,0.7675213348474619
volume,soil_moisture_0_7,芸豆,1.0931874980929093,5,0.362514030668711,916,True,0.6041900511145184
volume,soil_moisture_0_7,芹菜,1.252249643144177,5,0.282643422388016,916,True,0.5892759028133502
volume,soil_moisture_0_7,茄子,3.2764783969202544,5,0.00613198322034425,916,True,0.05450651751417111
volume,soil_moisture_0_7,西红柿,1.5061560301566632,5,0.18525560583209888,916,True,0.5293017309488539
volume,soil_moisture_0_7,青椒,1.1844959196107254,5,0.3147788184958831,916,True,0.5927824017255019
volume,soil_moisture_0_7,韭菜,0.9597356685759875,5,0.4415428059307317,916,True,0.6664797070652554
volume,soil_moisture_0_7,黄瓜,1.264388183080599,5,0.2771748973290665,916,True,0.5892759028133502
