crop,model,hazard_key,hazard_label,window,effect,se,t,p_value,n,r2,fdr_p,ci_low,ci_high
甘蓝,per-crop HAC,vpd,饱和水汽压差VPD,lag0-2,-0.14124430148293524,0.1181407219415073,-1.1955598303594823,0.23186837505515845,1409,0.43679826092816487,0.5269735796708147,-0.3728001164882896,0.09031151352241909
甘蓝,per-crop HAC,vpd,饱和水汽压差VPD,lag3-14,-0.0007326026892448129,0.2693627170915997,-0.002719762768786162,0.9978299459530939,1409,0.43679826092816487,0.9978299459530939,-0.5286835281887802,0.5272183228102906
甘蓝,per-crop HAC,soil_z,土壤水分异常,lag0-2,-0.06694689850741951,0.08567395899905315,-0.7814147879889547,0.4345585763264974,1409,0.43679826092816487,0.7107930537487175,-0.2348678581455637,0.10097406113072467
甘蓝,per-crop HAC,soil_z,土壤水分异常,lag3-14,-0.16134209552590595,0.11295690745236432,-1.4283508566658167,0.15319089655177898,1409,0.43679826092816487,0.4031339382941552,-0.38273763413254,0.06005344308072813
甘蓝,per-crop HAC,wind,风速,lag0-2,-0.050154773898793,0.06883566062083715,-0.7286161481772823,0.4662364978344734,1409,0.43679826092816487,0.7351100937688755,-0.18507266871563383,0.08476312091804783
甘蓝,per-crop HAC,wind,风速,lag3-14,-0.006198138282067257,0.16222718108654727,-0.038206533828388387,0.9695230114594772,1409,0.43679826092816487,0.9893091953668134,-0.3241634132116999,0.31176713664756533
芸豆,per-crop HAC,precip_3d,3日累计降水,lag0-2,-0.024966138718060894,0.07710796859646192,-0.3237815646359339,0.7461034142844802,1409,0.08991215623197557,0.8198938618510772,-0.17609775716712625,0.12616547973100448
芸豆,per-crop HAC,precip_3d,3日累计降水,lag3-14,-0.1440158106584002,0.16775578146471695,-0.8584849320897483,0.3906247472335066,1409,0.08991215623197557,0.6620758427686553,-0.47281714232924543,0.18478552101244505
芸豆,per-crop HAC,temp_max,日最高气温,lag0-2,0.6754481455208954,0.28077059269863586,2.4056940544549312,0.016141776547245072,1409,0.08991215623197557,0.2690296091207512,0.12513778383156915,1.2257585072102217
芸豆,per-crop HAC,temp_max,日最高气温,lag3-14,-0.25688071275693164,0.3159646879782613,-0.8130044987008336,0.41621547888449784,1409,0.08991215623197557,0.6936924648074964,-0.8761715011943239,0.3624100756804605
芸豆,per-crop HAC,vpd,饱和水汽压差VPD,lag0-2,-0.031006603457888506,0.14775596883616302,-0.209850090673966,0.8337846766700743,1409,0.08991215623197557,0.8754509839451966,-0.320608302376768,0.25859509546099096
芸豆,per-crop HAC,vpd,饱和水汽压差VPD,lag3-14,0.2548576241148082,0.27847769894611557,0.9151814492841032,0.360096381621968,1409,0.08991215623197557,0.6443704045947598,-0.29095866581957824,0.8006739140491947
芸豆,per-crop HAC,soil_z,土壤水分异常,lag0-2,0.13981339725440467,0.09200872897361169,1.5195666630119786,0.1286199217808367,1409,0.08991215623197557,0.39947915650187327,-0.04052371153387424,0.3201505060426836
芸豆,per-crop HAC,soil_z,土壤水分异常,lag3-14,0.2040995900491956,0.12765970395798962,1.5987785003509085,0.10986982782661205,1409,0.08991215623197557,0.39947915650187327,-0.04611342970846405,0.4543126098068552
芸豆,per-crop HAC,wind,风速,lag0-2,-0.13172283661321527,0.08023800666366747,-1.6416514079837008,0.1006622672872594,1409,0.08991215623197557,0.39947915650187327,-0.2889893296740035,0.025543656447572977
芸豆,per-crop HAC,wind,风速,lag3-14,-0.04597086991786955,0.17708694275886794,-0.25959491536576024,0.7951762588565141,1409,0.08991215623197557,0.855028235329585,-0.3930612777252507,0.3011195378895116
芹菜,per-crop HAC,precip_3d,3日累计降水,lag0-2,-0.05260128340328534,0.07935216249615018,-0.6628840569510293,0.5074048132785808,1409,0.2557863633412111,0.7573206168337027,-0.2081315218957397,0.102928955089169
芹菜,per-crop HAC,precip_3d,3日累计降水,lag3-14,0.04615494356439342,0.135461054761851,0.3407248204698885,0.7333107515436389,1409,0.2557863633412111,0.8198938618510772,-0.21934872376883452,0.31165861089762137
芹菜,per-crop HAC,temp_max,日最高气温,lag0-2,0.628369903030422,0.4017607317570783,1.5640401198053402,0.11780814687152202,1409,0.2557863633412111,0.39947915650187327,-0.15908113121345158,1.4158209372742956
芹菜,per-crop HAC,temp_max,日最高气温,lag3-14,-0.6691390355156194,0.45749344197287456,-1.4626199506380981,0.14357140103935165,1409,0.2557863633412111,0.39947915650187327,-1.5658261817824535,0.22754811075121473
芹菜,per-crop HAC,vpd,饱和水汽压差VPD,lag0-2,0.07157930426105566,0.14411013821226257,0.4966986025343001,0.6194016080548486,1409,0.2557863633412111,0.7941046257113443,-0.21087656663497897,0.35403517515709026
芹菜,per-crop HAC,vpd,饱和水汽压差VPD,lag3-14,0.7942746189903211,0.32788795995026354,2.4223964158696236,0.015418520755042794,1409,0.2557863633412111,0.2690296091207512,0.15161421748780457,1.4369350204928377
芹菜,per-crop HAC,soil_z,土壤水分异常,lag0-2,0.1867992266929474,0.10688368241868078,1.7476870413317576,0.08051823394437078,1409,0.2557863633412111,0.39947915650187327,-0.022692790847666927,0.39629124423356177
芹菜,per-crop HAC,soil_z,土壤水分异常,lag3-14,0.19310664918229303,0.14220935225939194,1.3579040064120655,0.1744941459500582,1409,0.2557863633412111,0.43353645842781047,-0.08562368124611514,0.4718369796107012
芹菜,per-crop HAC,wind,风速,lag0-2,-0.09424373325669534,0.094538211347596,-0.9968850892490664,0.3188202900433913,1409,0.2557863633412111,0.629591638043568,-0.2795386274979835,0.09105116098459283
芹菜,per-crop HAC,wind,风速,lag3-14,0.06152809369478249,0.16931951625460115,0.3633845350837429,0.7163176525846007,1409,0.2557863633412111,0.8198938618510772,-0.2703381581642358,0.3933943455538007
茄子,per-crop HAC,precip_3d,3日累计降水,lag0-2,-0.1788453524082606,0.06739946638989021,-2.6535128835246544,0.007965872955183268,1409,0.2301233187250663,0.26552909850610895,-0.31094830653244543,-0.04674239828407581
茄子,per-crop HAC,precip_3d,3日累计降水,lag3-14,-0.24265978488260126,0.1538854602950313,-1.5768857201802602,0.11482182284974228,1409,0.2301233187250663,0.39947915650187327,-0.5442752870608626,0.05895571729566007
茄子,per-crop HAC,temp_max,日最高气温,lag0-2,0.7811668273739384,0.2726314409895551,2.8652851796497893,0.004166338478267615,1409,0.2301233187250663,0.20831692391338075,0.24680920303441034,1.3155244517134665
茄子,per-crop HAC,temp_max,日最高气温,lag3-14,-0.548392337951417,0.41505820026661117,-1.3212420272606566,0.1864206771239585,1409,0.2301233187250663,0.43353645842781047,-1.3619064104739749,0.26512173457114097
