outcome,cum_days,crop,beta_raw_per_mm,beta_per_sd,p_raw,n,x_sd,x_mean,q_fdr
price,7,西红柿,9.776366700459897e-05,0.0028078088631354955,0.5043076231637291,916,28.720371781915787,18.064822695035463,0.5043076231637291
price,7,青椒,0.0001700181251772107,0.004882983764753788,0.47007371362516825,916,28.720371781915787,18.064822695035463,0.5043076231637291
price,7,韭菜,0.0012234430151973293,0.035137738250455346,0.00020661306191014348,916,28.720371781915787,18.064822695035463,0.002066130619101435
price,7,黄瓜,0.0019460403770769036,0.05589100313226826,0.0009021879267724997,916,28.720371781915787,18.064822695035463,0.004510939633862498
price,14,土豆,0.00012450480474228572,0.006072532710890209,0.4212080048757575,916,48.773480858508485,36.443262411347526,0.5748918045201329
price,14,尖椒,9.092657360958373e-05,0.004434805497476795,0.4599134436161063,916,48.773480858508485,36.443262411347526,0.5748918045201329
price,14,甘蓝,0.0003166594722068003,0.015444584706343774,0.026717876569654825,916,48.773480858508485,36.443262411347526,0.09001866368775645
price,14,芸豆,0.0003237360576512582,0.015789734411062642,0.16377626302593384,916,48.773480858508485,36.443262411347526,0.4094406575648346
price,14,芹菜,0.0002019855227704715,0.009851537028541421,0.20782755441415413,916,48.773480858508485,36.443262411347526,0.41565510882830825
price,14,茄子,8.760230064934244e-05,0.0042726691338820086,0.4052926832210072,916,48.773480858508485,36.443262411347526,0.5748918045201329
price,14,西红柿,-3.4298046004996134e-06,-0.00016728350903089223,0.9726337499076662,916,48.773480858508485,36.443262411347526,0.9726337499076662
price,14,青椒,3.80917808904354e-05,0.0018578687461261504,0.7646204029361745,916,48.773480858508485,36.443262411347526,0.8495782254846383
price,14,韭菜,0.0004950140059356931,0.024143556143198134,0.027005599106326935,916,48.773480858508485,36.443262411347526,0.09001866368775645
price,14,黄瓜,0.000858592310000962,0.041876535597094505,0.014109563985010067,916,48.773480858508485,36.443262411347526,0.09001866368775645
volume,1,土豆,-0.001808151828459688,-0.014990174685990138,0.09485616560169637,916,8.290329633855931,2.5412765957446806,0.25063139382658084
volume,1,尖椒,-0.0030738612409334206,-0.025483322936071504,0.18380575468881233,916,8.290329633855931,2.5412765957446806,0.30634292448135386
volume,1,甘蓝,-0.0006967588575822366,-0.00577636060466562,0.3840303047568022,916,8.290329633855931,2.5412765957446806,0.548614721081146
volume,1,芸豆,-0.00018701236990641384,-0.0015503941921327698,0.9152862229205057,916,8.290329633855931,2.5412765957446806,0.9563122778392344
volume,1,芹菜,-0.0029853989605935277,-0.024749941471891218,0.03327158628163962,916,8.290329633855931,2.5412765957446806,0.1663579314081981
volume,1,茄子,-0.006300422763703903,-0.05223258154375495,0.0002118472708362611,916,8.290329633855931,2.5412765957446806,0.0021184727083626113
volume,1,西红柿,0.001055407623975027,0.008749677100837643,0.5878233300290847,916,8.290329633855931,2.5412765957446806,0.7347791625363559
volume,1,青椒,8.898950297711147e-05,0.0007377523136332579,0.9563122778392343,916,8.290329633855931,2.5412765957446806,0.9563122778392344
volume,1,韭菜,-0.002480698732441607,-0.0205658102142295,0.12531569691329042,916,8.290329633855931,2.5412765957446806,0.25063139382658084
volume,1,黄瓜,-0.002499065191416223,-0.02071807421333576,0.11383244897002537,916,8.290329633855931,2.5412765957446806,0.25063139382658084
volume,3,土豆,-0.0010587858245983827,-0.018038912177670514,0.0058985581170109165,916,17.03735709203796,7.8221985815602855,0.029492790585054583
volume,3,尖椒,-0.0013722160024141382,-0.023378934040538497,0.08177862626130837,916,17.03735709203796,7.8221985815602855,0.20444656565327093
volume,3,甘蓝,7.287646886450228e-05,0.0012416224236513115,0.8218247615604202,916,17.03735709203796,7.8221985815602855,0.8218247615604202
volume,3,芸豆,0.0008296786118085779,0.014135530781009086,0.15456172466122367,916,17.03735709203796,7.8221985815602855,0.30912344932244734
volume,3,芹菜,-0.0005922396588349949,-0.010090198551638542,0.2778228261962348,916,17.03735709203796,7.8221985815602855,0.40550171623967124
volume,3,茄子,-0.0033738409281194003,-0.057481332664103005,7.378031372743773e-05,916,17.03735709203796,7.8221985815602855,0.0007378031372743774
volume,3,西红柿,0.0005628282345062599,0.009589105612764432,0.37190223498212105,916,17.03735709203796,7.8221985815602855,0.4648777937276513
volume,3,青椒,0.0007124915917160642,0.012138973673141101,0.28385120136776987,916,17.03735709203796,7.8221985815602855,0.40550171623967124
volume,3,韭菜,-0.00026178273461759257,-0.004460085930210132,0.7579560052338059,916,17.03735709203796,7.8221985815602855,0.8218247615604202
volume,3,黄瓜,-0.0027927273222145554,-0.04758069264926034,0.055416476677269205,916,17.03735709203796,7.8221985815602855,0.1847215889242307
volume,7,土豆,-0.0006043816741991615,-0.01735806638117662,0.00457196178840555,916,28.720371781915787,18.064822695035463,0.026441612112888986
volume,7,尖椒,-4.2128813287524566e-05,-0.0012099551803486195,0.9370312517061283,916,28.720371781915787,18.064822695035463,0.9370312517061283
volume,7,甘蓝,0.0001371716947492997,0.003939622071155354,0.46215945976811823,916,28.720371781915787,18.064822695035463,0.7702657662801972
volume,7,芸豆,0.0005745277103625432,0.016500649440625074,0.14663251717254555,916,28.720371781915787,18.064822695035463,0.3665812929313639
volume,7,芹菜,-0.0002838290740540749,-0.008151676529349939,0.29841681317304025,916,28.720371781915787,18.064822695035463,0.5968336263460805
volume,7,茄子,-0.0018540032313884983,-0.053247662090350915,0.005288322422577797,916,28.720371781915787,18.064822695035463,0.026441612112888986
volume,7,西红柿,-9.801509776964494e-05,-0.0028150300481850276,0.8080162876609291,916,28.720371781915787,18.064822695035463,0.8977958751788102
volume,7,青椒,0.0003091264785672884,0.008878227392086945,0.5819937415198819,916,28.720371781915787,18.064822695035463,0.8314196307426884
volume,7,韭菜,0.00021759043918118072,0.006249278309473846,0.712161038406387,916,28.720371781915787,18.064822695035463,0.8902012980079838
volume,7,黄瓜,-0.001578345125393312,-0.045330658801470414,0.08905325461811799,916,28.720371781915787,18.064822695035463,0.29684418206039326
volume,14,土豆,-0.00028035111647430706,-0.013673699813021098,0.05462130714489878,916,48.773480858508485,36.443262411347526,0.16531102816796261
volume,14,尖椒,0.00029428420654036295,0.01435326511465775,0.3624029551500876,916,48.773480858508485,36.443262411347526,0.4530036939376095
volume,14,甘蓝,0.0002058542413256756,0.010040227898940624,0.06855506001357643,916,48.773480858508485,36.443262411347526,0.16531102816796261
volume,14,芸豆,0.00037581404458897675,0.018329759110119113,0.08265551408398131,916,48.773480858508485,36.443262411347526,0.16531102816796261
volume,14,芹菜,0.00011499916269209955,0.005608909460307621,0.5094128718814686,916,48.773480858508485,36.443262411347526,0.5245800302459385
volume,14,茄子,-0.0009642846274398277,-0.04703151781859042,0.02880863144642723,916,48.773480858508485,36.443262411347526,0.16531102816796261
volume,14,西红柿,0.0001533145804206346,0.007477685753476082,0.5245800302459385,916,48.773480858508485,36.443262411347526,0.5245800302459385
volume,14,青椒,0.0003314832209166854,0.016167590530296694,0.34952355585744577,916,48.773480858508485,36.443262411347526,0.4530036939376095
volume,14,韭菜,0.0003923782797787198,0.019137654518081876,0.24432000840968326,916,48.773480858508485,36.443262411347526,0.40720001401613876
volume,14,黄瓜,-0.0010134828222696385,-0.04943108503239537,0.07023764819434242,916,48.773480858508485,36.443262411347526,0.16531102816796261
