method,crop,response,metric,hazard_key,hazard_label,hazard_unit,lag_day,effect,se,t,p_value,n,r2,pearson_r,spearman_r,hazard_sd,effect_per_unit,fdr_p,fdr_p_within,ci_low,ci_high
hist,尖椒,volume,z,precip_1d,当日降水,mm,10,0.05863801620774876,0.06471844229307372,0.9060480155287096,0.36491043861395345,1404,0.009270177697286774,0.03389842836638747,0.025159024233449213,8.148008274397107,0.007196607346607971,0.9993687142937572,0.6826404954412352,-0.06821013068667572,0.18548616310217322
hist,尖椒,volume,z,precip_1d,当日降水,mm,11,0.1131742180333641,0.0732017903309985,1.5460580611706518,0.12209054616666418,1403,0.011672789099219538,0.059256989715414966,0.054573191831650374,8.148008274397107,0.013889801559110243,0.9993687142937572,0.6308011551944316,-0.03030129101539296,0.25664972708212114
hist,尖椒,volume,z,precip_1d,当日降水,mm,12,0.1306626699442595,0.08343902675415807,1.5659658918270893,0.1173566023916525,1402,0.01143139475266175,0.057125366575474505,0.047845201405748994,8.148008274397107,0.01603614841124196,0.9993687142937572,0.6308011551944316,-0.03287782249389029,0.2942031623824093
hist,尖椒,volume,z,precip_1d,当日降水,mm,13,0.07923556034989875,0.08684173229241009,0.9124134014634792,0.36155113740703326,1401,0.009285553864178953,0.03325889441952792,0.02705857466756703,8.148008274397107,0.009724531159212844,0.9993687142937572,0.6826404954412352,-0.09097423494322503,0.2494453556430225
hist,尖椒,volume,z,precip_1d,当日降水,mm,14,0.03210803151217429,0.06422583917589206,0.4999238923798512,0.6171286681798952,1400,0.008554312097857175,0.017259418715581825,0.026385146398562927,8.148008274397107,0.003940598785725957,0.9993687142937572,0.7652395485430701,-0.09377461327257414,0.1579906762969227
hist,尖椒,volume,z,precip_1d,当日降水,mm,15,0.0332387736103313,0.05341455364218109,0.6222793479281811,0.5337581985345037,1399,0.008578712224630136,0.018595359633263062,0.04216548435258171,8.148008274397107,0.004079374061852033,0.9993687142937572,0.7284930947467375,-0.07145375152834363,0.13793129874900623
hist,尖椒,volume,z,precip_1d,当日降水,mm,16,0.03110191722367825,0.05391043710020677,0.5769182907173824,0.5639946539974743,1399,0.0085465004896218,0.01733429787668785,0.018522679738890147,8.148008274397107,0.003817119003352947,0.9993687142937572,0.7284930947467375,-0.07456253949272702,0.1367663739400835
hist,尖椒,volume,z,precip_1d,当日降水,mm,17,0.01878806989230828,0.05549574693449881,0.3385497255219159,0.7349489613304268,1399,0.008394367127171787,0.011025135180821285,0.012810129614106179,8.148008274397107,0.0023058481606289803,0.9993687142937572,0.8136934929015439,-0.0899835940993094,0.12755973388392594
hist,尖椒,volume,z,precip_1d,当日降水,mm,18,0.1413010516176682,0.08399268969592893,1.6823017828004734,0.09251033560581351,1398,0.013571275623912582,0.07178599109702168,0.07174032962441267,8.148008274397107,0.01734179039332449,0.9993687142937572,0.6308011551944316,-0.023324620186352507,0.3059267234216889
hist,尖椒,volume,z,precip_1d,当日降水,mm,19,0.1133178306874044,0.08515654820978313,1.3307001407366343,0.18328769671876388,1397,0.010534887647161817,0.04912115312906134,0.08193610480237425,8.148008274397107,0.01390742705103464,0.9993687142937572,0.6826404954412352,-0.05358900380377053,0.28022466517857936
hist,尖椒,volume,z,precip_1d,当日降水,mm,20,0.07162421629074513,0.10201674487689963,0.7020829411600203,0.4826274401156606,1396,0.00898731307348044,0.031714270912167684,0.06677943196272351,8.148008274397107,0.008790395625370765,0.9993687142937572,0.7284930947467375,-0.12832860366797816,0.2715770362494684
hist,尖椒,volume,z,precip_1d,当日降水,mm,21,0.08349685657322105,0.06551536858976215,1.2744621356868746,0.20249968354234338,1395,0.009786805200212578,0.03927853772937177,0.07091656308645965,8.148008274397107,0.010247517400735482,0.9993687142937572,0.6826404954412352,-0.044913265862712756,0.21190697900915484
hist,尖椒,volume,z,precip_1d,当日降水,mm,22,0.04634844357171617,0.052374634672301815,0.8849406561345892,0.37618863889042164,1394,0.008749182655040322,0.0231668942222779,0.02785858544171889,8.148008274397107,0.005688315722181273,0.9993687142937572,0.6826404954412352,-0.05630584038599539,0.14900272752942773
hist,尖椒,volume,z,precip_1d,当日降水,mm,23,-0.006974814896478632,0.05164928266536681,-0.13504185414670944,0.8925787825748702,1394,0.008235174392446143,-0.001576450308627013,0.01373724283648302,8.148008274397107,-0.000856014704648139,0.9993687142937572,0.8993831574171915,-0.10820740892059758,0.0942577791276403
hist,尖椒,volume,z,precip_1d,当日降水,mm,24,0.07480237522970004,0.08819800853699872,0.8481186420249017,0.3963719005787817,1394,0.009636716375582388,0.03845230851468081,0.04153131020377468,8.148008274397107,0.009180449100026826,0.9993687142937572,0.6826404954412352,-0.09806572150281745,0.24767047196221753
hist,尖椒,volume,z,precip_1d,当日降水,mm,25,0.14609594900953976,0.09395116658752808,1.5550200632520281,0.11994129109596273,1393,0.013721377646165989,0.07810578754105031,0.08680891189571995,8.148008274397107,0.017930265175184767,0.9993687142937572,0.6308011551944316,-0.03804833750201528,0.3302402355210948
hist,尖椒,volume,z,precip_1d,当日降水,mm,26,0.20475519729589534,0.10656861882238775,1.9213460731545178,0.05468809227964867,1392,0.015586187291418696,0.08887168476887101,0.07689749500823474,8.148008274397107,0.025129478321626486,0.8058714259946514,0.6308011551944316,-0.0041192955959846456,0.4136296901877753
hist,尖椒,volume,z,precip_1d,当日降水,mm,27,0.13559555938747367,0.10167627716461693,1.3336007490512307,0.18233473734526773,1391,0.010917980954988082,0.0505297650988166,0.04527235692767617,8.148008274397107,0.016641558871944906,0.9993687142937572,0.6826404954412352,-0.06368994385517551,0.33488106263012285
hist,尖椒,volume,z,precip_1d,当日降水,mm,28,0.0864860577937602,0.08539432462975789,1.0127846103208347,0.3111630531544777,1390,0.009817698195663915,0.03952513078001416,0.07036104685471009,8.148008274397107,0.010614380211851165,0.9993687142937572,0.6826404954412352,-0.08088681848056525,0.2538589340680857
hist,尖椒,volume,z,precip_1d,当日降水,mm,29,0.028726559083377498,0.04951669367513068,0.5801388774429654,0.561820968192333,1389,0.008323666964310639,0.014571261902871597,0.06505004220751961,8.148008274397107,0.00352559277260958,0.9993687142937572,0.7284930947467375,-0.06832616051987864,0.12577927868663363
hist,尖椒,volume,z,precip_1d,当日降水,mm,30,0.04762551431966716,0.07278620783499308,0.6543205881481639,0.5129052844141961,1389,0.008689049222838197,0.02591894788152776,0.03827633709693999,8.148008274397107,0.005845049822705427,0.9993687142937572,0.7284930947467375,-0.09503545303691927,0.1902864816762536
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,0,-0.06728707614838259,0.07887157175063256,-0.853122039473531,0.39359163057023383,1410,0.009308943786602408,-0.030101831672868572,-0.00901482127016717,16.14456317656136,-0.004167785489920831,0.9993687142937572,0.5810162165560595,-0.2218753567796224,0.08730120448285722
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,1,-0.02848801327612467,0.08931047397688145,-0.31897729356468274,0.7497437312089961,1409,0.008581021359629348,-0.011071473501655008,-0.0043315329908469626,16.14456317656136,-0.0017645577006062019,0.9993687142937572,0.8014501954303062,-0.2035365422708123,0.146560515718563
