crop,response,bin_label,n_days,mean_z,se,ci_low,ci_high
甘蓝,volume,0-10,1096,0.4311009820033104,0.04278503414472499,0.3472423150796494,0.5149596489269713
甘蓝,volume,10-25,174,0.2731820696649492,0.10291862182889076,0.07146157088032329,0.47490256844957507
甘蓝,volume,25-50,99,0.34915982968952985,0.13739495063111232,0.07986572645254975,0.61845393292651
甘蓝,volume,50-100,35,-0.13051456134071618,0.1920789371485173,-0.50698927815181,0.24596015547037772
甘蓝,volume,100+,6,-0.42592842403984993,0.11552257675227069,-0.6523526744743005,-0.19950417360539938
芸豆,price,0-10,1096,0.11182883396024988,0.036208054790875556,0.0408610465701338,0.18279662135036595
芸豆,price,10-25,174,0.1268903576808665,0.08824637089316813,-0.04607252926974301,0.299853244631476
芸豆,price,25-50,99,-0.0852469217965079,0.09659824881249916,-0.27457948946900623,0.10408564587599044
芸豆,price,50-100,35,0.38514878010076603,0.23951090840543016,-0.08429260037387709,0.8545901605754092
芸豆,price,100+,6,0.11578185693521063,0.3735494374751645,-0.6163750405161118,0.847938754386533
芸豆,volume,0-10,1096,-0.005046372470536583,0.03521780169962188,-0.07407326380179548,0.0639805188607223
芸豆,volume,10-25,174,-0.03689455840151032,0.08810059220621887,-0.2095717191256993,0.13578260232267866
芸豆,volume,25-50,99,-0.057774562023853775,0.12099409815706604,-0.29492299441170317,0.17937387036399563
芸豆,volume,50-100,35,-0.09948203392153203,0.29402076590237836,-0.6757627350901936,0.47679866724712955
芸豆,volume,100+,6,-0.12990192404734427,0.34788960888438086,-0.8117655574607308,0.5519617093660423
芹菜,price,0-10,1096,0.2161603659594792,0.0400955424903713,0.1375731026783515,0.29474762924060693
芹菜,price,10-25,174,0.12364187808874302,0.09075858339480194,-0.0542449453650688,0.30152870154255484
芹菜,price,25-50,99,0.004184897552426596,0.08899636345555888,-0.1702479748204688,0.178617769925322
芹菜,price,50-100,35,0.54062583988674,0.21519940695543727,0.11883500225408294,0.962416677519397
芹菜,price,100+,6,0.6984708602421442,0.6588747215576926,-0.5929235940109331,1.9898653144952214
芹菜,volume,0-10,1096,0.22546874235864328,0.04827182589277761,0.13085596360879914,0.3200815211084874
芹菜,volume,10-25,174,0.17711843075719216,0.10656649857279467,-0.031751906445485395,0.3859887679598697
芹菜,volume,25-50,99,0.26684398733501663,0.14429948909014023,-0.015983011281658244,0.5496709859516915
芹菜,volume,50-100,35,-0.2999877949291142,0.24684953768394455,-0.7838128887896455,0.1838372989314171
芹菜,volume,100+,6,-0.44966050631773014,0.30580220578118267,-1.0490328296488483,0.14971181701338787
茄子,price,0-10,1096,0.06261997407406145,0.03305869957551363,-0.0021750770939452657,0.12741502524206816
茄子,price,10-25,174,0.0664123902015409,0.08368352510818014,-0.09760731901049217,0.23043209941357395
茄子,price,25-50,99,-0.10533726633654263,0.10969314590298605,-0.3203358323063953,0.10966129963331005
茄子,price,50-100,35,0.4831117024257991,0.23559985811253478,0.021335980525230946,0.9448874243263672
茄子,price,100+,6,0.3332902059040517,0.27600264371755495,-0.20767497578235605,0.8742553875904594
茄子,volume,0-10,1096,-0.10909072220097629,0.0449492727068987,-0.19719129670649774,-0.020990147695454847
茄子,volume,10-25,174,-0.18851502799580414,0.08481823523313814,-0.3547587690527549,-0.022271286938853385
茄子,volume,25-50,99,-0.10928598822679968,0.11845609584729978,-0.34145993608750724,0.1228879596339079
茄子,volume,50-100,35,-0.4557444806518941,0.33717677535532764,-1.1166109603483363,0.2051219990445481
茄子,volume,100+,6,-0.40518858811048214,0.29138733920800575,-0.9763077729581735,0.16593059673720917
西红柿,price,0-10,1096,0.07379513484539584,0.03893294966182494,-0.002513446491781035,0.1501037161825727
西红柿,price,10-25,174,0.06862364424557077,0.08103911204983236,-0.09021301537210064,0.22746030386324217
西红柿,price,25-50,99,-0.1554718071348376,0.06730890972923322,-0.2873972702041347,-0.023546344065540514
西红柿,price,50-100,35,0.11672787035391886,0.0974629156933383,-0.07429944440502421,0.30775518511286193
西红柿,price,100+,6,0.3766051979592619,0.08715408658806958,0.20578318824664552,0.5474272076718782
西红柿,volume,0-10,1096,0.1851208074306065,0.0329858779856132,0.12046848657880463,0.24977312828240836
西红柿,volume,10-25,174,0.11874144428234605,0.07761571839334432,-0.0333853637686088,0.2708682523333009
西红柿,volume,25-50,99,0.20871765905555717,0.1112873402771172,-0.009405527887592552,0.42684084599870686
西红柿,volume,50-100,35,-0.15176311470093537,0.22383058945429285,-0.5904710700313494,0.28694484062947856
西红柿,volume,100+,6,-0.29062159452102143,0.23423900505503253,-0.7497300444288852,0.16848685538684233
青椒,price,0-10,1096,0.07518249427948072,0.03954906822604951,-0.0023336794435763197,0.15269866800253776
青椒,price,10-25,174,0.044662356489675134,0.0819951192560752,-0.11604807725223225,0.2053727902315825
青椒,price,25-50,99,0.02833632817825146,0.0964592047226836,-0.1607237130782084,0.21739636943471133
青椒,price,50-100,35,0.6113940780378494,0.19007080242947086,0.2388553052760865,0.9839328507996123
青椒,price,100+,6,0.4192289366982475,0.3573912470002151,-0.281257907422174,1.119715780818669
青椒,volume,0-10,1096,0.02225737451435848,0.05130645745915745,-0.07830328210559011,0.12281803113430707
青椒,volume,10-25,174,-0.09109501636609184,0.10909226759418424,-0.30491586085069294,0.12272582811850925
青椒,volume,25-50,99,-0.0931115189849845,0.14273858305423529,-0.3728791417712856,0.18665610380131664
青椒,volume,50-100,35,-0.44644864555831776,0.3296492969889354,-1.0925612676566312,0.19966397653999568
青椒,volume,100+,6,0.018735854429905423,0.25038841483112423,-0.472025438639098,0.5094971474989088
韭菜,price,0-10,1096,0.07997260516255526,0.03682885668645154,0.00778804605711024,0.1521571642680003
韭菜,price,10-25,174,-0.04104808366967275,0.07783735020969233,-0.1936092900806697,0.11151312274132422
韭菜,price,25-50,99,0.0605149668578509,0.09821808054284532,-0.13199247100612593,0.25302240472182774
韭菜,price,50-100,35,0.817294792371951,0.1936327876313891,0.4377745286144284,1.1968150561294737
韭菜,price,100+,6,0.5086918945574083,0.44776502759842646,-0.3689275595355076,1.3863113486503242
韭菜,volume,0-10,1096,0.12623743480606447,0.05019092162049142,0.027863228429901285,0.22461164118222765
韭菜,volume,10-25,174,-0.13950243428280618,0.11553371119485907,-0.36594850822472996,0.08694363965911761
韭菜,volume,25-50,99,0.08777842425938112,0.16116581566032268,-0.2281065744348513,0.40366342295361357
韭菜,volume,50-100,35,-0.6930231960584046,0.29800374936273294,-1.2771105448093611,-0.10893584730744799
韭菜,volume,100+,6,-0.5339718512523047,0.5010045948725069,-1.5159408572024184,0.4479971546978089
黄瓜,price,0-10,1096,0.14891078164768518,0.04254507470702636,0.0655224352219135,0.23229912807345685
黄瓜,price,10-25,174,-0.07502094559967468,0.08450837699881285,-0.24065736451734784,0.09061547331799849
黄瓜,price,25-50,99,0.19469556017055054,0.12291187933799526,-0.04621172333192017,0.43560284367302127
黄瓜,price,50-100,35,0.9923147203142589,0.305392749121567,0.3937449320359876,1.5908845085925303
黄瓜,price,100+,6,0.9518229403935446,0.37885392754216307,0.20926924241090505,1.6943766383761842
黄瓜,volume,0-10,1096,-0.17588967136381364,0.056015387081995806,-0.2856798300445254,-0.06609951268310187
黄瓜,volume,10-25,174,-0.22402267322654162,0.13703619219388055,-0.4926136099265475,0.044568263473464265
黄瓜,volume,25-50,99,-0.0721046518969087,0.1820873499608625,-0.4289958578201992,0.28478655402638176
黄瓜,volume,50-100,35,-0.6277903040347397,0.41572056047470307,-1.4426026025651577,0.18702199449567836
黄瓜,volume,100+,6,-0.5620756328971627,0.49000617648507966,-1.5224877388079188,0.39833647301359343
