crop,variable,weather,n_years,years,pearson_r,spearman_r,interpretation_allowed,note
花生,production_ton,season_temp_mean_c,4,"2021,2022,2023,2024",0.9464355693897157,0.7999999999999999,False,n<8，仅探索性描述，不作统计推断
花生,production_ton,heat_days,4,"2021,2022,2023,2024",,,False,n<8，仅探索性描述，不作统计推断
花生,production_ton,heavy_rain_days,4,"2021,2022,2023,2024",0.4727803248951906,0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
花生,production_ton,soil_moisture_anomaly,4,"2021,2022,2023,2024",-0.8536649773864435,-0.7999999999999999,False,n<8，仅探索性描述，不作统计推断
花生,production_ton,max_3d_precip_mm,4,"2021,2022,2023,2024",0.41058188910839305,0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
花生,yield_kg_per_ha,season_precip_mm,4,"2021,2022,2023,2024",-0.24499148095842863,-0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
花生,yield_kg_per_ha,season_temp_mean_c,4,"2021,2022,2023,2024",0.8009172230746066,0.7999999999999999,False,n<8，仅探索性描述，不作统计推断
花生,yield_kg_per_ha,heat_days,4,"2021,2022,2023,2024",,,False,n<8，仅探索性描述，不作统计推断
花生,yield_kg_per_ha,heavy_rain_days,4,"2021,2022,2023,2024",0.2308842559220767,0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
花生,yield_kg_per_ha,soil_moisture_anomaly,4,"2021,2022,2023,2024",-0.9153217016323758,-0.7999999999999999,False,n<8，仅探索性描述，不作统计推断
花生,yield_kg_per_ha,max_3d_precip_mm,4,"2021,2022,2023,2024",0.03662952727998544,0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
薯类,production_ton,season_precip_mm,4,"2021,2022,2023,2024",-0.2964571589986874,0.21081851067789195,False,n<8，仅探索性描述，不作统计推断
薯类,production_ton,season_temp_mean_c,4,"2021,2022,2023,2024",-0.6897846453580729,-0.7378647873726218,False,n<8，仅探索性描述，不作统计推断
薯类,production_ton,heat_days,4,"2021,2022,2023,2024",,,False,n<8，仅探索性描述，不作统计推断
薯类,production_ton,heavy_rain_days,4,"2021,2022,2023,2024",-0.7102658741205989,-0.632455532033676,False,n<8，仅探索性描述，不作统计推断
薯类,production_ton,soil_moisture_anomaly,4,"2021,2022,2023,2024",0.6275473567226472,0.7378647873726218,False,n<8，仅探索性描述，不作统计推断
薯类,production_ton,max_3d_precip_mm,4,"2021,2022,2023,2024",-0.5207284654055632,-0.632455532033676,False,n<8，仅探索性描述，不作统计推断
薯类,yield_kg_per_ha,season_precip_mm,4,"2021,2022,2023,2024",0.37041115121983603,-0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
薯类,yield_kg_per_ha,season_temp_mean_c,4,"2021,2022,2023,2024",0.7275486618225819,0.7999999999999999,False,n<8，仅探索性描述，不作统计推断
薯类,yield_kg_per_ha,heat_days,4,"2021,2022,2023,2024",,,False,n<8，仅探索性描述，不作统计推断
薯类,yield_kg_per_ha,heavy_rain_days,4,"2021,2022,2023,2024",0.7328449327907565,0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
薯类,yield_kg_per_ha,soil_moisture_anomaly,4,"2021,2022,2023,2024",-0.37222138517898606,-0.7999999999999999,False,n<8，仅探索性描述，不作统计推断
薯类,yield_kg_per_ha,max_3d_precip_mm,4,"2021,2022,2023,2024",0.8479779848726119,0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
谷子,production_ton,season_precip_mm,4,"2021,2022,2023,2024",-0.996839819665074,-0.8944271909999159,False,n<8，仅探索性描述，不作统计推断
谷子,production_ton,season_temp_mean_c,4,"2021,2022,2023,2024",0.21250599464313122,0.4472135954999579,False,n<8，仅探索性描述，不作统计推断
谷子,production_ton,heat_days,4,"2021,2022,2023,2024",,,False,n<8，仅探索性描述，不作统计推断
谷子,production_ton,heavy_rain_days,4,"2021,2022,2023,2024",-0.894427190999916,-0.8944271909999159,False,n<8，仅探索性描述，不作统计推断
谷子,production_ton,soil_moisture_anomaly,4,"2021,2022,2023,2024",-0.4776926052932547,-0.4472135954999579,False,n<8，仅探索性描述，不作统计推断
谷子,production_ton,max_3d_precip_mm,4,"2021,2022,2023,2024",-0.8344751639244411,-0.8944271909999159,False,n<8，仅探索性描述，不作统计推断
谷子,yield_kg_per_ha,season_precip_mm,4,"2021,2022,2023,2024",-0.7732865584592806,-0.7999999999999999,False,n<8，仅探索性描述，不作统计推断
谷子,yield_kg_per_ha,season_temp_mean_c,4,"2021,2022,2023,2024",0.6536475158992815,0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
谷子,yield_kg_per_ha,heat_days,4,"2021,2022,2023,2024",,,False,n<8，仅探索性描述，不作统计推断
谷子,yield_kg_per_ha,heavy_rain_days,4,"2021,2022,2023,2024",-0.4716174213236383,-0.7999999999999999,False,n<8，仅探索性描述，不作统计推断
谷子,yield_kg_per_ha,soil_moisture_anomaly,4,"2021,2022,2023,2024",-0.6290412187117592,-0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
谷子,yield_kg_per_ha,max_3d_precip_mm,4,"2021,2022,2023,2024",-0.25442931247189987,-0.7999999999999999,False,n<8，仅探索性描述，不作统计推断
高粱,production_ton,season_precip_mm,4,"2021,2022,2023,2024",-0.5166064694151332,-0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
高粱,production_ton,season_temp_mean_c,4,"2021,2022,2023,2024",0.40280246168710476,0.19999999999999998,False,n<8，仅探索性描述，不作统计推断
高粱,production_ton,heat_days,4,"2021,2022,2023,2024",,,False,n<8，仅探索性描述，不作统计推断
高粱,production_ton,heavy_rain_days,4,"2021,2022,2023,2024",-0.3779644730092272,-0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
高粱,production_ton,soil_moisture_anomaly,4,"2021,2022,2023,2024",-0.2292771396857722,-0.19999999999999998,False,n<8，仅探索性描述，不作统计推断
高粱,production_ton,max_3d_precip_mm,4,"2021,2022,2023,2024",-0.04220155585629025,-0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
高粱,yield_kg_per_ha,season_precip_mm,4,"2021,2022,2023,2024",0.1597437907897901,-0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
高粱,yield_kg_per_ha,season_temp_mean_c,4,"2021,2022,2023,2024",0.8934772447282407,0.7999999999999999,False,n<8，仅探索性描述，不作统计推断
高粱,yield_kg_per_ha,heat_days,4,"2021,2022,2023,2024",,,False,n<8，仅探索性描述，不作统计推断
高粱,yield_kg_per_ha,heavy_rain_days,4,"2021,2022,2023,2024",0.6269949083232382,0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
高粱,yield_kg_per_ha,soil_moisture_anomaly,4,"2021,2022,2023,2024",-0.6397610129906858,-0.7999999999999999,False,n<8，仅探索性描述，不作统计推断
高粱,yield_kg_per_ha,max_3d_precip_mm,4,"2021,2022,2023,2024",0.6770067693721034,0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
