target,feature_set,feature,z_value,original_value,ale,mean_abs_shap
price,F_lag,temp_max_lag3d,0.685444249494992,23.4,0.052522655645412926,0.013517752864233954
price,F_lag,temp_max_lag3d,0.7876163479327012,24.710000000000015,0.05242134707731224,0.013517752864233954
price,F_lag,temp_max_lag3d,0.8851088082740255,25.960000000000015,0.05157211326850086,0.013517752864233954
price,F_lag,temp_max_lag3d,0.9896207257599241,27.299999999999997,0.05092297045374618,0.013517752864233954
price,F_lag,temp_max_lag3d,1.0754140908602896,28.4,0.05092297045374618,0.013517752864233954
price,F_lag,temp_max_lag3d,1.126890109920509,29.060000000000002,0.05092297045374618,0.013517752864233954
price,F_lag,temp_max_lag3d,1.1853855861253038,29.810000000000002,0.04981482078804961,0.013517752864233954
price,F_lag,temp_max_lag3d,1.2625996147156326,30.800000000000004,0.04824600483315952,0.013517752864233954
price,F_lag,temp_max_lag3d,1.4068884560207926,32.65,0.04669038114073187,0.013517752864233954
price,F_lag,temp_max_lag3d,1.5706757893942176,34.75,0.04669038114073187,0.013517752864233954
price,F_lag,soil_moisture_0_7_lag1d,-2.0558397740444603,0.07889583333333328,-0.007733064998882956,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,-1.659613508559909,0.11737499999999995,-0.007733064998882956,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,-1.4279273327486937,0.13987499999999994,-0.007733064998882956,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,-1.303589085063341,0.15194999999999997,-0.0075785259569911894,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,-1.1808812215781417,0.16386666666666663,-0.007329216870617109,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,-1.0859756991902882,0.1730833333333333,-0.007329216870617109,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,-0.9651985538368486,0.1848125,-0.0075619259852954535,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,-0.7909190638099679,0.20173749999999996,-0.0075619259852954535,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,-0.6525509310338253,0.21517499999999995,-0.00813713915835906,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,-0.5269255379272992,0.227375,-0.00813713915835906,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,-0.3134739222493739,0.24810416666666663,-0.0016437667524483073,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,-0.04424600498726669,0.27425,-0.003927279462698859,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,0.14432079921463942,0.2925625,0.006406288075732643,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,0.2297014454858093,0.30085416666666664,0.005288020015393487,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,0.34537291400192727,0.31208749999999996,0.010379967511914695,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,0.5272894668611039,0.3297541666666666,0.027375630668118146,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,0.7795270645637222,0.35425,0.06423530335653391,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,1.0526164180893494,0.38077083333333334,0.0356532434251305,0.011497919770611327
price,F_lag,soil_moisture_0_7_lag1d,1.3357884107475018,0.40827083333333336,0.08472430463712469,0.011497919770611327
price,F_lag,temp_max_lag14d,-2.297145616417507,-14.299999999999999,0.14948663979160995,0.009683250289181322
price,F_lag,temp_max_lag14d,-1.8927702177562382,-9.15,0.13388277404247642,0.009683250289181322
price,F_lag,temp_max_lag14d,-1.547284440259232,-4.749999999999998,0.12101367277885419,0.009683250289181322
price,F_lag,temp_max_lag14d,-1.215146976892792,-0.519999999999996,0.13667958947947087,0.009683250289181322
price,F_lag,temp_max_lag14d,-1.0031443407014473,2.180000000000005,0.13424842794421132,0.009683250289181322
