target_kind,target,feature_set,model,rmse_test,r2_test,best_baseline,best_baseline_rmse,beats_baseline,complex_beats_simple,mae_test,n_test
hist,volume,F_lag,elasticnet,0.4225184102434855,0.6932603137949314,baseline_persistence,0.4282567720719965,True,True,0.2880048947406076,1750
hist,volume,F_lag,gam,0.43777522340581865,0.6707080973148054,baseline_persistence,0.4282567720719965,False,False,0.3107721541169899,1750
hist,volume,F_lag,lightgbm,0.43760387584530913,0.6709658200866823,baseline_persistence,0.4282567720719965,False,False,0.3382098197038067,1750
hist,volume,F_now,baseline_mean,1.0960412120494296,-1.0641082202463568,baseline_persistence,0.4282567720719965,False,False,0.9428727273094138,1750
hist,volume,F_now,baseline_seasonal_naive,1.1869822074301857,-1.4208457205065272,baseline_persistence,0.4282567720719965,False,False,0.9680823744284746,1750
hist,volume,F_now,baseline_persistence,0.4282567720719965,0.6848718692749114,baseline_persistence,0.4282567720719965,False,False,0.23076717952997075,1750
hist,volume,F_now,elasticnet,0.42561829433217235,0.6887428986010187,baseline_persistence,0.4282567720719965,True,True,0.2936470228082849,1750
hist,volume,F_now,gam,0.5244692534107894,0.5273727465432675,baseline_persistence,0.4282567720719965,False,False,0.35818098227872536,1750
hist,volume,F_now,lightgbm,0.4390431791437324,0.6687978374797052,baseline_persistence,0.4282567720719965,False,False,0.3390588362792682,1750
hist,volume,F_wx,baseline_mean,1.0960412120494296,-1.0641082202463568,baseline_persistence,0.4282567720719965,False,False,0.9428727273094138,1750
hist,volume,F_wx,baseline_seasonal_naive,1.1869822074301857,-1.4208457205065272,baseline_persistence,0.4282567720719965,False,False,0.9680823744284746,1750
hist,volume,F_wx,baseline_persistence,0.4282567720719965,0.6848718692749114,baseline_persistence,0.4282567720719965,False,False,0.23076717952997075,1750
hist,volume,F_wx,elasticnet,1.0999897784823136,-1.0790072026996427,baseline_persistence,0.4282567720719965,False,False,0.9228471716568248,1750
hist,volume,F_wx,gam,1.2184901576211589,-1.5510721750829641,baseline_persistence,0.4282567720719965,False,False,0.9999463517392407,1750
hist,volume,F_wx,lightgbm,0.9209693617828723,-0.45736743200771945,baseline_persistence,0.4282567720719965,False,False,0.7229433170379245,1750
strict,price,F_lag,baseline_mean,0.21117591437562738,0.09123487479630854,baseline_persistence,0.06914568036896217,False,False,0.16571222586771325,1750
strict,price,F_lag,baseline_seasonal_naive,0.3026475569052487,-0.8665396955573108,baseline_persistence,0.06914568036896217,False,False,0.2331904365542284,1750
strict,price,F_lag,baseline_persistence,0.06914568036896217,0.9025699345889421,baseline_persistence,0.06914568036896217,False,False,0.04021739959202181,1750
strict,price,F_lag,elasticnet,0.06924318590498334,0.9022949595253722,baseline_persistence,0.06914568036896217,False,False,0.044248968753453743,1750
strict,price,F_lag,gam,0.08181756436874688,0.8635869311684401,baseline_persistence,0.06914568036896217,False,False,0.05659786422277508,1750
strict,price,F_lag,lightgbm,0.07818916285774877,0.8754177953022562,baseline_persistence,0.06914568036896217,False,False,0.05480087210904939,1750
strict,price,F_now,baseline_mean,0.21117591437562738,0.09123487479630854,baseline_persistence,0.06914568036896217,False,False,0.16571222586771325,1750
strict,price,F_now,baseline_seasonal_naive,0.3026475569052487,-0.8665396955573108,baseline_persistence,0.06914568036896217,False,False,0.2331904365542284,1750
strict,price,F_now,baseline_persistence,0.06914568036896217,0.9025699345889421,baseline_persistence,0.06914568036896217,False,False,0.04021739959202181,1750
